,Track Number,Track Title,Album Name,Year Released,Lyric
0,11,Ain't Shit,Planet Her,2021,b'Man\n'
1,11,Ain't Shit,Planet Her,2021,"b'This happened one, two, three times too much\n'"
2,11,Ain't Shit,Planet Her,2021,b'These dumb-ass niggas\n'
3,11,Ain't Shit,Planet Her,2021,"b""Niggas ain't shit, come up in\xe2\x80\x85your\xe2\x80\x85crib\n"""
4,11,Ain't Shit,Planet Her,2021,"b""All up in\xe2\x80\x85your fridge, can't pay rent\n"""
5,11,Ain't Shit,Planet Her,2021,"b'Look at\xe2\x80\x85what you did, listen to your friends\n'"
6,11,Ain't Shit,Planet Her,2021,"b""When they say niggas\xe2\x81\x9fain't\xe2\x81\x9fshit,\xe2\x81\x9f'cause\n"""
7,11,Ain't Shit,Planet Her,2021,"b""Niggas ain't shit,\xe2\x81\x9fcome up in\xe2\x81\x9fyour crib\n"""
8,11,Ain't Shit,Planet Her,2021,"b""All up in your fridge, can't pay rent\n"""
9,11,Ain't Shit,Planet Her,2021,"b'Look at what you did, listen to your friends\n'"
10,11,Ain't Shit,Planet Her,2021,"b""When they say niggas ain't shit\n"""
11,11,Ain't Shit,Planet Her,2021,"b'Umm, you could say that again\n'"
12,11,Ain't Shit,Planet Her,2021,b'Niggas is square like Madison\n'
13,11,Ain't Shit,Planet Her,2021,"b""I can't even really get mad at them\n"""
14,11,Ain't Shit,Planet Her,2021,"b'They fall, then I gotta facepalm\n'"
15,11,Ain't Shit,Planet Her,2021,"b""Shook him like an 8-ball and it's embarrassin'\n"""
16,11,Ain't Shit,Planet Her,2021,"b'Ten-page text, shoulda wrote a book, coulda made a bag\n'"
17,11,Ain't Shit,Planet Her,2021,"b""But he broke and he still waitin' 'til I can chill\n"""
18,11,Ain't Shit,Planet Her,2021,"b""And he really think I'ma get back to him\n"""
19,11,Ain't Shit,Planet Her,2021,"b""Doin' too much, relax a bit\n"""
20,11,Ain't Shit,Planet Her,2021,"b""Actin' like that 'cause your dad's a bitch\n"""
21,11,Ain't Shit,Planet Her,2021,b'Must be the way that the planets is\n'
22,11,Ain't Shit,Planet Her,2021,"b""Must be your face 'cause it's not your dick\n"""
23,11,Ain't Shit,Planet Her,2021,"b""I'm a freak, not a masochist\n"""
24,11,Ain't Shit,Planet Her,2021,b'Shoulda known you had the baddest bitch\n'
25,11,Ain't Shit,Planet Her,2021,"b""Left on read and can't give head\n"""
26,11,Ain't Shit,Planet Her,2021,"b""Really, you ain't shit, need a laxative\n"""
27,11,Ain't Shit,Planet Her,2021,"b""Niggas ain't shit, come up in your crib\n"""
28,11,Ain't Shit,Planet Her,2021,"b""All up in your fridge, can't pay rent\n"""
29,11,Ain't Shit,Planet Her,2021,"b'Look at what you did, listen to your friends\n'"
30,11,Ain't Shit,Planet Her,2021,"b""When they say niggas ain't shit, 'cause\n"""
31,11,Ain't Shit,Planet Her,2021,"b""Niggas ain't shit, come up in your crib\n"""
32,11,Ain't Shit,Planet Her,2021,"b""All up in your fridge, can't pay rent\n"""
33,11,Ain't Shit,Planet Her,2021,"b'Look at what you did, listen to your friends\n'"
34,11,Ain't Shit,Planet Her,2021,"b""When they say, niggas ain't shit, 'cause\n"""
35,11,Ain't Shit,Planet Her,2021,b'You might also like\n'
36,11,Ain't Shit,Planet Her,2021,"b""Said that's not cheating if I wasn't with your ass, yo\n"""
37,11,Ain't Shit,Planet Her,2021,"b'You kept secrets and your cousin told me that, so (Your cousin)\n'"
38,11,Ain't Shit,Planet Her,2021,"b""Logical thinkin' is just something that you lack, so\n"""
39,11,Ain't Shit,Planet Her,2021,"b""What you even mad for? Lookin' like a stick up in your asshole\n"""
40,11,Ain't Shit,Planet Her,2021,"b""I'm not your mommy, nigga, find a new hobby, nigga\n"""
41,11,Ain't Shit,Planet Her,2021,"b""Return, yo, 'fore I get picked up, your shit's in the lobby, nigga\n"""
42,11,Ain't Shit,Planet Her,2021,"b""I'm not gon' key your car, I'll call your fuckin' mom\n"""
43,11,Ain't Shit,Planet Her,2021,"b""You should have paid my rent, go get a fuckin' job\n"""
44,11,Ain't Shit,Planet Her,2021,"b""Niggas ain't shit, come up in your crib\n"""
45,11,Ain't Shit,Planet Her,2021,"b""All up in your fridge, can't pay rent\n"""
46,11,Ain't Shit,Planet Her,2021,"b'Look at what you did, listen to your friends\n'"
47,11,Ain't Shit,Planet Her,2021,"b""When they say niggas ain't shit, 'cause\n"""
48,11,Ain't Shit,Planet Her,2021,"b""Niggas ain't shit, come up in your crib\n"""
49,11,Ain't Shit,Planet Her,2021,"b""All up in your fridge, can't pay rent\n"""
50,11,Ain't Shit,Planet Her,2021,"b'Look at what you did, listen to your friends\n'"
51,11,Ain't Shit,Planet Her,2021,"b""When they say niggas ain't shit, 'cause\xe2\x80\x93\n"""
