,Track Number,Track Title,Album Name,Year Released,Lyric
0,44,All Nighter,Amala,2018,"b'Let me break it to you, boy, I-I-I-I\n'"
1,44,All Nighter,Amala,2018,b'I can give it to you all ni-i-i-ight\n'
2,44,All Nighter,Amala,2018,"b""All in all, we pullin' all ni-i-ighters\n"""
3,44,All Nighter,Amala,2018,"b""We ain't gotta turn on them li-i-i-ights\n"""
4,44,All Nighter,Amala,2018,"b""Finna be up, ain't no sleepin' all night, yuh\n"""
5,44,All Nighter,Amala,2018,"b""Finna be up, ain't no sleepin' all night, yuh\n"""
6,44,All Nighter,Amala,2018,"b""Finna be up, yeah, I'm finna be up\n"""
7,44,All Nighter,Amala,2018,"b""Yeah, I'm finna be up ain't no sleepin' all night, yuh\n"""
8,44,All Nighter,Amala,2018,"b""Yeah, we up 'til the day break off\n"""
9,44,All Nighter,Amala,2018,"b'Make up when I take, take off\n'"
10,44,All Nighter,Amala,2018,"b'No sleep, you my sunshine, though\n'"
11,44,All Nighter,Amala,2018,"b'Just me, you, and some wine, look\n'"
12,44,All Nighter,Amala,2018,"b""'Cause we tryna unwind, look\n"""
13,44,All Nighter,Amala,2018,"b'We sleep baby, sometimes, look\n'"
14,44,All Nighter,Amala,2018,"b'Yeah, we got the same schedule, sexual drive\n'"
15,44,All Nighter,Amala,2018,"b'Speed through, I just led you\n'"
16,44,All Nighter,Amala,2018,"b""Spent 15 on it and that's fine\n"""
17,44,All Nighter,Amala,2018,"b""'Cause we already been around five\n"""
18,44,All Nighter,Amala,2018,"b""Lil' weed, Hennessy, kinda sound nice\n"""
19,44,All Nighter,Amala,2018,b'Finna need new sheets by around nine\n'
20,44,All Nighter,Amala,2018,"b""Feelin' weak in the knees\n"""
21,44,All Nighter,Amala,2018,b'Make it bounce like blap-blap-blap\n'
22,44,All Nighter,Amala,2018,b'Bed smack to the wall tap-tap-tap\n'
23,44,All Nighter,Amala,2018,"b'Wait, lemme throw it all back-back-back\n'"
24,44,All Nighter,Amala,2018,"b""Neighbor bangin' on the door\n"""
25,44,All Nighter,Amala,2018,"b""Ain't no sleepin', fuck Monday, it's the weekend 'til Sunday\n"""
26,44,All Nighter,Amala,2018,"b'Our moon will be sunlight, he love that T-shirt, no undies\n'"
27,44,All Nighter,Amala,2018,"b""Ain't no sleepin', fuck Monday, it's the weekend 'til Sunday\n"""
28,44,All Nighter,Amala,2018,"b'Our moon will be sunlight, he love that T-shirt, no undies, okay, yeah\n'"
29,44,All Nighter,Amala,2018,"b'Let me break it to you, boy, I-I-I-I\n'"
30,44,All Nighter,Amala,2018,b'I can give it to you all ni-i-i-ight\n'
31,44,All Nighter,Amala,2018,"b""All in all, we pullin' all ni-i-ighters\n"""
32,44,All Nighter,Amala,2018,"b""We ain't gotta turn on them li-i-i-ights\n"""
33,44,All Nighter,Amala,2018,b'You might also like\n'
34,44,All Nighter,Amala,2018,"b""Finna be up, ain't no sleepin' all night, yuh\n"""
35,44,All Nighter,Amala,2018,"b""Finna be up, ain't no sleepin' all night, yuh\n"""
36,44,All Nighter,Amala,2018,"b""Finna be up, yeah, I'm finna be up\n"""
37,44,All Nighter,Amala,2018,"b""Yeah, I'm finna be up ain't no sleepin' all night, yuh\n"""
38,44,All Nighter,Amala,2018,"b'Baby, I just clocked out\n'"
39,44,All Nighter,Amala,2018,"b'In the middle of the night, need a snack, oh\n'"
40,44,All Nighter,Amala,2018,"b""Ain't tryna knock out\n"""
41,44,All Nighter,Amala,2018,"b""Still workin' on my wine, need a back rub\n"""
42,44,All Nighter,Amala,2018,b'Wish we could rewind to the bathtub\n'
43,44,All Nighter,Amala,2018,"b""First night, wreckin' this suite, no pack up\n"""
44,44,All Nighter,Amala,2018,b'Tuck me like money in a mattress\n'
45,44,All Nighter,Amala,2018,"b""But we ain't finna sleep on a mattress\n"""
46,44,All Nighter,Amala,2018,"b'Practice, knee-deep in your tactic\n'"
47,44,All Nighter,Amala,2018,"b'Back it up, beep beep, no U-Haul\n'"
48,44,All Nighter,Amala,2018,"b'Tossed salad, no cheese, no croutons\n'"
49,44,All Nighter,Amala,2018,"b""Said it don't taste cheap, no coupon\n"""
50,44,All Nighter,Amala,2018,"b""No drugs, just me's that you's on\n"""
51,44,All Nighter,Amala,2018,"b""Five star, that's sweet, no futon\n"""
52,44,All Nighter,Amala,2018,"b""Dem a' other girl tired, huge yawn\n"""
53,44,All Nighter,Amala,2018,"b""I ain't talkin' 'bout the tea when I Oolong\n"""
54,44,All Nighter,Amala,2018,"b""Ain't no sleepin', fuck Monday, it's the weekend 'til Sunday\n"""
55,44,All Nighter,Amala,2018,"b'Our moon will be sunlight, he love that T-shirt, no undies\n'"
56,44,All Nighter,Amala,2018,"b""Ain't no sleepin', fuck Monday, it's the weekend 'til Sunday\n"""
57,44,All Nighter,Amala,2018,"b'Our moon will be sunlight, he love that T-shirt, no undies, okay, yeah\n'"
58,44,All Nighter,Amala,2018,"b'Let me break it to you, boy, I-I-I-I\n'"
