,Track Number,Track Title,Album Name,Year Released,Lyric
0,13,Alone,Planet Her,2021,"b'Baby, when you fought me at the door\n'"
1,13,Alone,Planet Her,2021,"b""Kinda hard to force what's natural\n"""
2,13,Alone,Planet Her,2021,"b""Maybe you don't want what you need most\n"""
3,13,Alone,Planet Her,2021,"b""Is it crazy I'm not scared to be \n"""
4,13,Alone,Planet Her,2021,b'Now I barely need ya\n'
5,13,Alone,Planet Her,2021,b'Do what you do best and be \n'
6,13,Alone,Planet Her,2021,"b'Gotta tell him, ""Rest in peace""\n'"
7,13,Alone,Planet Her,2021,"b""Bet you thought I'd die \n"""
8,13,Alone,Planet Her,2021,"b""It don't make sense to me\n"""
9,13,Alone,Planet Her,2021,b'But I keep my head up high \n'
10,13,Alone,Planet Her,2021,"b""You ain't even there for me\n"""
11,13,Alone,Planet Her,2021,"b""But now, you're scared to be \n"""
12,13,Alone,Planet Her,2021,b'Too many drinks to think about you\n'
13,13,Alone,Planet Her,2021,b'I had too many thoughts to let you wander\n'
14,13,Alone,Planet Her,2021,"b""Now you're an afterthought, I lost ya\n"""
15,13,Alone,Planet Her,2021,"b'And now you want me, babe\n'"
16,13,Alone,Planet Her,2021,"b""You want me, but it's bye\n"""
17,13,Alone,Planet Her,2021,"b""Givin' m\xd0\xb5 reasons to fly\n"""
18,13,Alone,Planet Her,2021,b'Pack up my shit and be wise\n'
19,13,Alone,Planet Her,2021,b'Jump in th\xd0\xb5 ride\n'
20,13,Alone,Planet Her,2021,b'Hit up my dude on the side\n'
21,13,Alone,Planet Her,2021,"b'Like, look what you threw to the side\n'"
22,13,Alone,Planet Her,2021,b'You get the vibe\n'
23,13,Alone,Planet Her,2021,b'Either we fuck or we fight\n'
24,13,Alone,Planet Her,2021,"b""But I got the feelin' you're right\n"""
25,13,Alone,Planet Her,2021,"b""I'm out my mind\n"""
26,13,Alone,Planet Her,2021,"b""Doesn't make sense when I cry\n"""
27,13,Alone,Planet Her,2021,"b""If we can't make up, 'least we try\n"""
28,13,Alone,Planet Her,2021,"b'Baby, when you fought me at the door (Fought me at the door)\n'"
29,13,Alone,Planet Her,2021,"b""Kinda hard to force what's natural (Oh, oh, oh)\n"""
30,13,Alone,Planet Her,2021,"b""Maybe you don't want what you need most (Oh, oh, oh)\n"""
31,13,Alone,Planet Her,2021,"b""Is it crazy I'm not scared to be \n"""
32,13,Alone,Planet Her,2021,"b""I ain't wanna share my dreams when it involves you\n"""
33,13,Alone,Planet Her,2021,b'Not the man I need (Yeah)\n'
34,13,Alone,Planet Her,2021,"b""Started feelin' like I failed my team\n"""
35,13,Alone,Planet Her,2021,"b""Missin' gigs for you, bet you never felt like me\n"""
36,13,Alone,Planet Her,2021,"b""Different levels to the game, that's fast\n"""
37,13,Alone,Planet Her,2021,"b""Spendin' bands last week while your ass act cheap (Yeah)\n"""
38,13,Alone,Planet Her,2021,b'Lonely at the top while your ass miles deep\n'
39,13,Alone,Planet Her,2021,"b""Got me thinkin' that you scared of yourself, not me\n"""
40,13,Alone,Planet Her,2021,"b'Impossible, from a Prius to gold carriages\n'"
41,13,Alone,Planet Her,2021,b'Middle finger to you so you see what a whole karat is\n'
42,13,Alone,Planet Her,2021,"b'I need a answer, a reader of more tarots\n'"
43,13,Alone,Planet Her,2021,"b""You couldn't tell that the both of us needed a whole therapist\n"""
44,13,Alone,Planet Her,2021,b'I made you fam when I greeted your whole parents\n'
45,13,Alone,Planet Her,2021,"b""But later, I realized they ain't teach you what no sharin' is\n"""
46,13,Alone,Planet Her,2021,"b""I know you hearin' this, I know you scared of it\n"""
47,13,Alone,Planet Her,2021,"b""But bein' lonely better than 'needs control,' cherish it\n"""
48,13,Alone,Planet Her,2021,b'You might also like\n'
49,13,Alone,Planet Her,2021,"b'Baby, when you fought me at the door (Fought me at the door)\n'"
50,13,Alone,Planet Her,2021,"b""Kinda hard to force what's natural (Oh, oh, oh)\n"""
51,13,Alone,Planet Her,2021,"b""Maybe you don't want what you need most (Oh, oh, oh)\n"""
52,13,Alone,Planet Her,2021,"b""Is it crazy I'm not scared to be \n"""
53,13,Alone,Planet Her,2021,b'Now I barely need ya (I barely need ya)\n'
54,13,Alone,Planet Her,2021,b'Do what you do best and be \n'
55,13,Alone,Planet Her,2021,"b'Gotta tell him, ""Rest in peace""\n'"
56,13,Alone,Planet Her,2021,"b""Bet you thought I'd die \n"""
57,13,Alone,Planet Her,2021,"b""It don't make sense to me\n"""
58,13,Alone,Planet Her,2021,b'But I keep my head up high \n'
59,13,Alone,Planet Her,2021,"b""You ain't even there for me\n"""
60,13,Alone,Planet Her,2021,"b""But now, you're scared to be \n"""
61,13,Alone,Planet Her,2021,b'Alone\n'
62,13,Alone,Planet Her,2021,b'Now you scared to be \n'
