,Track Number,Track Title,Album Name,Year Released,Lyric
0,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'I keep it juicy, juicy, I eat that lunch, uh (Yeah)\n'"
1,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'She keep that booty, booty, she keep that plump, yeah (Yeah, yeah)\n'"
2,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'That natural beauty, beauty, yeah, yeah\n'"
3,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""If you could see it from the frontWait 'til you see it from the back, back, back, back, back, juicy\n"""
4,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Wait 'til you see it from the back, back, back, back, back, juicy\n"""
5,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
6,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Back, back, yeah, back, back, back, juicy\n'"
7,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
8,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Back, back, back, back, back, juicy\n'"
9,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
10,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'If you could see it from the front\n'
11,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Wait 'til you see it from the back\n"""
12,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'He like the Doja with the Cat, yeah (Cat, cat, cat)\n'"
13,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'He like it thick, he like it fat, yeah (Fat, fat, fat)\n'"
14,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Like to keep him wantin' more\n"""
15,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'He ask me, ""Doja, where you at, huh?"" (""Where you at? Where you at?"")\n'"
16,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'And all them niggas wanna know\n'
17,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'How long it take to pull my pants up, mmm, mmm, mmm\n'"
18,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Broke a fingernail and then some, mmm\n'"
19,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Tryna squeeze into my True Religion denim, mmm, mmm, mmm\n'"
20,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Sell it big, don't wanna sell you light (Yeah, I don't wanna sell it)\n"""
21,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""I don't buy it, where the cellulite? (Yeah, where that, where that at?)\n"""
22,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'He said the body unbelievable (Yeah)\n'
23,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Can't trust a big butt and a Gemini-i-i-i (Mmm)\n"""
24,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'I keep it juicy, juicy, I eat that lunch, uh (Yeah)\n'"
25,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'She keep that booty, booty, she keep that plump, yeah (Yeah, yeah)\n'"
26,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'That natural beauty, beauty, yeah, yeah\n'"
27,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'If you could see it from the front\n'
28,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Wait 'til you see it from the back, back, back, back, back, juicy\n"""
29,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
30,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Back, back, yeah, back, back, back, juicy\n'"
31,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
32,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Back, back, back, back, back, juicy\n'"
33,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
34,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'If you could see it from the front\n'
35,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Wait 'til you see it from the back\n"""
36,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'You might also like\n'
37,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Bring that ass over, Doja, bring it back, back, back (Yeah)\n'"
38,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""I'm a big dog, tryna eat the kitty cat, cat\n"""
39,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""I'ma slide in, the way it fit, I can tell we match (Woo)\n"""
40,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""All about my racks, hella cheese, I don't fuck with rats (No)\n"""
41,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Big crib in Hollywood, I don't even act (Yeah)\n"""
42,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Come relax, let a nigga tap, hit you on the app (Woo)\n'"
43,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Take a lil' *inhale*, with the *cough*, wipe the pain away\n"""
44,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Juicy and it's tighter than a virgin, like Madonna say\n"""
45,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""I love when you give in, I love when you don't (Sometimes, ayy)\n"""
46,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Hit me with the threesome, and sometimes you won't (Sometimes)\n"""
47,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""You told me don't fuck with no bitches you know (Nah)\n"""
48,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'You got it, yeah, you got it, babe, you bust it on the floor (Ayy, ayy)\n'"
49,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'I keep it juicy, juicy, I eat that lunch, uh (Yeah, \n'"
50,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'She keep that booty, booty (\n'"
51,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'That natural beauty, beauty, yeah, yeah\n'"
52,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'If you could see it from the front\n'
53,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Wait 'til you see it from the back, back, back, back, back, juicy\n"""
54,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
55,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Back, back, yeah, back, back, back, juicy\n'"
56,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
57,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Back, back, back, back, back, juicy\n'"
58,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
59,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'If you could see it from the front (Yeah)\n'
60,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Wait 'til you see it from the back\n"""
61,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'He like it plump, he need that\n'"
62,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Need the rump and need the thighs, he eat that\n'"
63,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Eat that up, and in the night, he seek that\n'"
64,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'In the dark, and in the ride, he keep that\n'"
65,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Keep it runnin', like it plump, he need that\n"""
66,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'Need the rump and need the thighs, he eat that\n'"
67,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'He eat that up and in the night, he seek that\n'"
68,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'In the dark, and in the ride, he keep that\n'"
69,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Keep it runnin'\n"""
70,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'I keep it juicy, juicy, I eat that lunch, uh (Yeah)\n'"
71,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'She keep that booty, booty, she keep that plump, yeah (Yeah, yeah)\n'"
72,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b'That natural beauty, beauty, yeah, yeah\n'"
73,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,b'If you could see it from the front\n'
74,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""Wait 'til you see it from the back, back, back, back, back, juicy\n"""
75,31,Juicy by Doja Cat & Tyga,Hot Pink,2019,"b""(Wait 'til you see it from the\xe2\x80\x94)\n"""
