,Track Number,Track Title,Album Name,Year Released,Lyric
0,9,Been Like This,Planet Her,2021,"b""Since you've been like this\n"""
1,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this\n"""
2,9,Been Like This,Planet Her,2021,"b""Ever since you've been like this\n"""
3,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this\n"""
4,9,Been Like This,Planet Her,2021,"b""See you've been changin', baby\n"""
5,9,Been Like This,Planet Her,2021,b'In good ways and bad ways\n'
6,9,Been Like This,Planet Her,2021,"b""Can't say what I say, it's far too late\n"""
7,9,Been Like This,Planet Her,2021,"b'And I think you made me, baby\n'"
8,9,Been Like This,Planet Her,2021,b'Made me too nervous\n'
9,9,Been Like This,Planet Her,2021,"b""Cryin' and this hurt and I gotta tell you why\n"""
10,9,Been Like This,Planet Her,2021,"b""Since you've been like this (This, this, this, this)\n"""
11,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this (This, this, this, this)\n"""
12,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this (This, this, this, this)\n"""
13,9,Been Like This,Planet Her,2021,"b""Ever since you've been like this (This, this, this, this)\n"""
14,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this (This, this, this, this)\n"""
15,9,Been Like This,Planet Her,2021,"b""Who is frontin', babe?\n"""
16,9,Been Like This,Planet Her,2021,"b""We don't have fun these days\n"""
17,9,Been Like This,Planet Her,2021,"b""It's more than complicated, I\n"""
18,9,Been Like This,Planet Her,2021,"b""Couldn't say you wasn't with it\n"""
19,9,Been Like This,Planet Her,2021,"b""Told me to stop my whinin'\n"""
20,9,Been Like This,Planet Her,2021,"b'Wh\xd0\xb5n you gave up, I tried\n'"
21,9,Been Like This,Planet Her,2021,b'I gave you all this tim\xd0\xb5\n'
22,9,Been Like This,Planet Her,2021,b'Gave you my everything\n'
23,9,Been Like This,Planet Her,2021,"b'Said I can do this all night, baby\n'"
24,9,Been Like This,Planet Her,2021,"b""Said I was actin' out of line, maybe\n"""
25,9,Been Like This,Planet Her,2021,"b""Can't put my trauma to the side\n"""
26,9,Been Like This,Planet Her,2021,"b""When you told me I was lyin'\n"""
27,9,Been Like This,Planet Her,2021,"b""Had me feelin' like I died, baby\n"""
28,9,Been Like This,Planet Her,2021,"b'I seen a grown man cry, baby\n'"
29,9,Been Like This,Planet Her,2021,"b""Just see you do it, ain't special, no\n"""
30,9,Been Like This,Planet Her,2021,"b""Wonder when I ain't there\n"""
31,9,Been Like This,Planet Her,2021,"b""What the fuck you've been sayin'?\n"""
32,9,Been Like This,Planet Her,2021,"b""Talkin' 'bout how I sexed you up\n"""
33,9,Been Like This,Planet Her,2021,"b""What the fuck you've been sayin'?\n"""
34,9,Been Like This,Planet Her,2021,"b""Talkin' 'bout how I sexed you up\n"""
35,9,Been Like This,Planet Her,2021,b'You might also like\n'
36,9,Been Like This,Planet Her,2021,b'And I know it might mess you up\n'
37,9,Been Like This,Planet Her,2021,"b""Hatin' me ain't gon' get you love\n"""
38,9,Been Like This,Planet Her,2021,"b""Ain't nobody gon' set you up\n"""
39,9,Been Like This,Planet Her,2021,"b""I ain't even gon' sweat you, love\n"""
40,9,Been Like This,Planet Her,2021,"b""And we'll never be friends like this\n"""
41,9,Been Like This,Planet Her,2021,"b""God couldn't forgive like this\n"""
42,9,Been Like This,Planet Her,2021,b'Way I really went in like this\n'
43,9,Been Like This,Planet Her,2021,"b""Thank God I ain't been like this (Yeah)\n"""
44,9,Been Like This,Planet Her,2021,"b""Since you've been like this (This, this, this, this)\n"""
45,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this (This, this, this, this)\n"""
46,9,Been Like This,Planet Her,2021,"b""Ever since you've been like this (This, this, this, this)\n"""
47,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this (This, this, this, this)\n"""
48,9,Been Like This,Planet Her,2021,"b""Since you've been like this\n"""
49,9,Been Like This,Planet Her,2021,"b'I, bless your heart (Like this)\n'"
50,9,Been Like This,Planet Her,2021,"b""But I, I can't take no more (Like this)\n"""
51,9,Been Like This,Planet Her,2021,"b'I, bless your heart (Like this)\n'"
52,9,Been Like This,Planet Her,2021,"b""But I, I can't take no more (Like this)\n"""
53,9,Been Like This,Planet Her,2021,"b""Since you've been like this\n"""
54,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this\n"""
55,9,Been Like This,Planet Her,2021,"b""Baby, I don't really wanna be in like this"""
