,Track Number,Track Title,Album Name,Year Released,Lyric
0,30,Better Than Me,Hot Pink,2019,b'Better than me\n'
1,30,Better Than Me,Hot Pink,2019,"b""All of them bitches ain't better than me\n"""
2,30,Better Than Me,Hot Pink,2019,"b""I know you wanted somethin' else\xe2\x80\x85at\xe2\x80\x85your feet\n"""
3,30,Better Than Me,Hot Pink,2019,"b""You gon'\xe2\x80\x85figure out you lost one and\xe2\x80\x85that's me (Yeah, yeah)\n"""
4,30,Better Than Me,Hot Pink,2019,b'Better than me\n'
5,30,Better Than Me,Hot Pink,2019,"b""She ain't no queen, I'm like Houdini\n"""
6,30,Better Than Me,Hot Pink,2019,"b""Put a little magic in you like they can't see me\n"""
7,30,Better Than Me,Hot Pink,2019,"b""Put a little magic in you like they can't see me\n"""
8,30,Better Than Me,Hot Pink,2019,b'She so thicky in that polka-dotted bikini\n'
9,30,Better Than Me,Hot Pink,2019,"b""Baby, why you frontin'? You know that I been the best\n"""
10,30,Better Than Me,Hot Pink,2019,"b""I come for they neck, they run 'cause I'm next\n"""
11,30,Better Than Me,Hot Pink,2019,"b'You so in denial lately, she just got you stressed\n'"
12,30,Better Than Me,Hot Pink,2019,"b'She got no finesse, she just get undressed\n'"
13,30,Better Than Me,Hot Pink,2019,"b'Yeah (Yeah), yeah (Yeah)\n'"
14,30,Better Than Me,Hot Pink,2019,b'Put the honey in the pot (Pot)\n'
15,30,Better Than Me,Hot Pink,2019,b'Put a nigga in his place\n'
16,30,Better Than Me,Hot Pink,2019,b'She just wanna take my spot\n'
17,30,Better Than Me,Hot Pink,2019,"b'Woah (Woah), Woah (Woah)\n'"
18,30,Better Than Me,Hot Pink,2019,"b""She ain't even got my guap (Woah)\n"""
19,30,Better Than Me,Hot Pink,2019,"b""She ain't got a lot to say (Say)\n"""
20,30,Better Than Me,Hot Pink,2019,b'Even though she bring that talk\n'
21,30,Better Than Me,Hot Pink,2019,b'Better than me\n'
22,30,Better Than Me,Hot Pink,2019,b'Better than me\n'
23,30,Better Than Me,Hot Pink,2019,b'The best pussy\n'
24,30,Better Than Me,Hot Pink,2019,b'Come from wifey\n'
25,30,Better Than Me,Hot Pink,2019,b'Better than me\n'
26,30,Better Than Me,Hot Pink,2019,"b""All of them bitches ain't better than me\n"""
27,30,Better Than Me,Hot Pink,2019,"b""I know you wanted somethin' else at your feet\n"""
28,30,Better Than Me,Hot Pink,2019,"b""You gon' figure out you lost one and that's me (Look)\n"""
29,30,Better Than Me,Hot Pink,2019,"b'I can do that too, bitch, I can do that too\n'"
30,30,Better Than Me,Hot Pink,2019,"b'I can get him juiced, I can make him screw, and\n'"
31,30,Better Than Me,Hot Pink,2019,"b""Trust me, he wake up right in the mornin', or like two, and\n"""
32,30,Better Than Me,Hot Pink,2019,"b'Just to get a smooch, and touch on that caboose, and\n'"
33,30,Better Than Me,Hot Pink,2019,"b""What they say about it? Oh, they say either you snoozin'\n"""
34,30,Better Than Me,Hot Pink,2019,"b""Honey, you just lose him, why the fuck he snoozin'?\n"""
35,30,Better Than Me,Hot Pink,2019,"b""Messin' with my man, shawty, you cruisin' for a bruisin'\n"""
36,30,Better Than Me,Hot Pink,2019,"b""Don't gotta be slimy, honey, swagger's what I'm oozin'\n"""
37,30,Better Than Me,Hot Pink,2019,b'And they call her a trick because all she got is illusions\n'
38,30,Better Than Me,Hot Pink,2019,b'We walk in the room and compliment each other smoothly\n'
39,30,Better Than Me,Hot Pink,2019,"b""'Member how I kissed you upside down like in that movie\n"""
40,30,Better Than Me,Hot Pink,2019,"b""Let God be the judge and we can get rid of these Judy's\n"""
41,30,Better Than Me,Hot Pink,2019,b'You might also like\n'
42,30,Better Than Me,Hot Pink,2019,b'Better than me (Better than me)\n'
43,30,Better Than Me,Hot Pink,2019,"b""Better than me (She ain't better than me, baby)\n"""
44,30,Better Than Me,Hot Pink,2019,b'The best pussy (Best pussy)\n'
45,30,Better Than Me,Hot Pink,2019,b'Come from wifey (Come from wifey)\n'
46,30,Better Than Me,Hot Pink,2019,b'Better than me\n'
47,30,Better Than Me,Hot Pink,2019,"b""All of them bitches ain't better than me (None of them bitches)\n"""
48,30,Better Than Me,Hot Pink,2019,"b""I know you wanted somethin' else at your feet (None of them bitches)\n"""
49,30,Better Than Me,Hot Pink,2019,"b""You gon' figure out you lost one and that's me\n"""
50,30,Better Than Me,Hot Pink,2019,"b""You gon' figure out, baby\n"""
51,30,Better Than Me,Hot Pink,2019,"b""Careful who you fuckin' with, 'cause \n"""
52,30,Better Than Me,Hot Pink,2019,"b""Just be careful who you fuckin' with, 'cause you just lost one"""
