,Track Number,Track Title,Album Name,Year Released,Lyric
0,43,Body Language,Amala,2018,"b'I think I need something new, something you got for me\n'"
1,43,Body Language,Amala,2018,"b""I'm the one to give it to, to get into, I'm ready\n"""
2,43,Body Language,Amala,2018,"b""I'ma get comfortable\n"""
3,43,Body Language,Amala,2018,"b""'Cause you know I won't be here all week\n"""
4,43,Body Language,Amala,2018,b'And we both got it in on freak\n'
5,43,Body Language,Amala,2018,"b""We ain't afraid of sexuality, oh\n"""
6,43,Body Language,Amala,2018,"b'No games, no way, Jos\xc3\xa9\n'"
7,43,Body Language,Amala,2018,"b""Foreplay, don't fake both ways\n"""
8,43,Body Language,Amala,2018,"b""Like Olay, and I won't chase to it, OJ\n"""
9,43,Body Language,Amala,2018,"b""Soul based, and I'm on face like I'm Colgate\n"""
10,43,Body Language,Amala,2018,"b'Hallways when I go all day, get it (Uh-huh)\n'"
11,43,Body Language,Amala,2018,"b""Now it's the one to throw it back with it\n"""
12,43,Body Language,Amala,2018,"b""Fittin' all that, he ain't gotta call back\n"""
13,43,Body Language,Amala,2018,"b""Trippin' this, prison this, nigga I don't get it, I'm addicted\n"""
14,43,Body Language,Amala,2018,"b'Reading all my feelings, need a one-way ticket\n'"
15,43,Body Language,Amala,2018,"b""Looking so fly 'cause I mind my business\n"""
16,43,Body Language,Amala,2018,"b""Self-proposed but you know I'm vicious\n"""
17,43,Body Language,Amala,2018,"b""Slow your roll, you can't lie to me, baby\n"""
18,43,Body Language,Amala,2018,b'I see it all in your eyes and your face\n'
19,43,Body Language,Amala,2018,b'Want these knees to go opposite ways\n'
20,43,Body Language,Amala,2018,"b""And I see you fiendin', go off on it, babe\n"""
21,43,Body Language,Amala,2018,"b""I don't need to speak, I'm not talkin', babe\n"""
22,43,Body Language,Amala,2018,"b""'Cause you're talkin' with your body, body\n"""
23,43,Body Language,Amala,2018,"b'Can we touch up on that topic, topic?\n'"
24,43,Body Language,Amala,2018,"b""You're coming on to me\n"""
25,43,Body Language,Amala,2018,b'And I can read it all up on your face\n'
26,43,Body Language,Amala,2018,"b'Control it, get your way\n'"
27,43,Body Language,Amala,2018,"b""Baby, you can't hide from me\n"""
28,43,Body Language,Amala,2018,b'Come and vibe with me\n'
29,43,Body Language,Amala,2018,"b""Boy, it ain't my fault, it's building up inside of me\n"""
30,43,Body Language,Amala,2018,b'I hope I can get you out before you say goodbye to me\n'
31,43,Body Language,Amala,2018,"b""And boy, it ain't my fault, it's building up inside of me\n"""
32,43,Body Language,Amala,2018,b'I hope I can get you out before you say goodbye to me\n'
33,43,Body Language,Amala,2018,"b""'Cause you're talkin' with your body, body\n"""
34,43,Body Language,Amala,2018,"b'Can we touch up on that topic, topic?\n'"
35,43,Body Language,Amala,2018,"b""Good self control but you stickin' it out\n"""
36,43,Body Language,Amala,2018,"b""A figure of mouth, don't wonder why you twistin' your loud\n"""
37,43,Body Language,Amala,2018,"b""She twerkin' it out and wonder why they thirstier now\n"""
38,43,Body Language,Amala,2018,"b""Every night dodgin' broke niggas, curvin' 'em out\n"""
39,43,Body Language,Amala,2018,"b""Like every pipe got its own feelings lurkin' below\n"""
40,43,Body Language,Amala,2018,"b'I mean, really? Do you love me? Is it certain, for sure?\n'"
41,43,Body Language,Amala,2018,"b""I got money, nigga, know you gon' be hurt if I don't\n"""
42,43,Body Language,Amala,2018,"b'But I got niggas in my city and my bitches is cold, so\n'"
43,43,Body Language,Amala,2018,b'You might also like\n'
44,43,Body Language,Amala,2018,b'Tell me what you had in mind\n'
45,43,Body Language,Amala,2018,"b""Watch it closely, we'll unwind\n"""
46,43,Body Language,Amala,2018,b'Psychology of the mind\n'
47,43,Body Language,Amala,2018,"b""You do your job, I'll do mine\n"""
48,43,Body Language,Amala,2018,"b""'Cause the body doesn't lie\n"""
49,43,Body Language,Amala,2018,"b""'Cause you're talkin' with your body, body\n"""
50,43,Body Language,Amala,2018,"b'Can we touch up on that topic, topic?\n'"
51,43,Body Language,Amala,2018,"b""'Cause you're talkin' with your body, body\n"""
52,43,Body Language,Amala,2018,"b'Can we touch up on that topic, topic?\n'"
53,43,Body Language,Amala,2018,"b'I think I need something new, something you got for me\n'"
54,43,Body Language,Amala,2018,"b""I'm the one to give it to, to get into, I'm ready\n"""
55,43,Body Language,Amala,2018,"b""I'ma get comfortable\n"""
56,43,Body Language,Amala,2018,"b""'Cause you know I won't be here all week\n"""
57,43,Body Language,Amala,2018,b'And we both got it in on freak\n'
58,43,Body Language,Amala,2018,"b""We ain't afraid of sexuality, oh\n"""
