,Track Number,Track Title,Album Name,Year Released,Lyric
0,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, that's my trick (Trick, trick)\n"""
1,23,Bottom Bitch,Hot Pink,2019,"b'I\xe2\x80\x99m her pimp (Pimp, pimp)She my flip (Flip, flip)\n'"
2,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, don't\xe2\x80\x85forget\xe2\x80\x85(Get, get)That's my\xe2\x80\x85trick (Trick, trick)\n"""
3,23,Bottom Bitch,Hot Pink,2019,b'She my bottom bitch\n'
4,23,Bottom Bitch,Hot Pink,2019,"b'I\xe2\x80\x99m her pimp (Pimp, pimp)\n'"
5,23,Bottom Bitch,Hot Pink,2019,"b'She my flip (Flip, flip)\n'"
6,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, don't\xe2\x80\x85forget\xe2\x80\x85(Get, get)\n"""
7,23,Bottom Bitch,Hot Pink,2019,"b""That's my\xe2\x80\x85trick (Trick, trick)\n"""
8,23,Bottom Bitch,Hot Pink,2019,b'She my bottom bitch\n'
9,23,Bottom Bitch,Hot Pink,2019,"b""Ooh,\xe2\x80\x85that\xe2\x80\x99s my trick (That's my trick)\n"""
10,23,Bottom Bitch,Hot Pink,2019,"b""I'm her pimp (I'm her pimp)\n"""
11,23,Bottom Bitch,Hot Pink,2019,b'She my flip (She my flip)\n'
12,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, don't forget (Don't forget)\n"""
13,23,Bottom Bitch,Hot Pink,2019,"b""That's my trick (That's my trick)\n"""
14,23,Bottom Bitch,Hot Pink,2019,b'She my bottom bitch\n'
15,23,Bottom Bitch,Hot Pink,2019,"b""I'm her pimp (I'm her pimp)\n"""
16,23,Bottom Bitch,Hot Pink,2019,b'She my flip (She my flip)\n'
17,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, don't forget (Don't forget)\n"""
18,23,Bottom Bitch,Hot Pink,2019,"b""That's my trick (That's my trick)\n"""
19,23,Bottom Bitch,Hot Pink,2019,b'She my bottom bitch\n'
20,23,Bottom Bitch,Hot Pink,2019,b'That\xe2\x80\x99s my ho\n'
21,23,Bottom Bitch,Hot Pink,2019,b'That\xe2\x80\x99s my doe\n'
22,23,Bottom Bitch,Hot Pink,2019,"b""That's my glow up\n"""
23,23,Bottom Bitch,Hot Pink,2019,b'She go hard\n'
24,23,Bottom Bitch,Hot Pink,2019,b'She just like a pro\n'
25,23,Bottom Bitch,Hot Pink,2019,b'She just wanna blow up\n'
26,23,Bottom Bitch,Hot Pink,2019,b'If you talkin\xe2\x80\x99 shit\n'
27,23,Bottom Bitch,Hot Pink,2019,b'Wipe your spit off my nuts\n'
28,23,Bottom Bitch,Hot Pink,2019,"b'Nigga, grow up\n'"
29,23,Bottom Bitch,Hot Pink,2019,"b""On a boat like I'm Noah\n"""
30,23,Bottom Bitch,Hot Pink,2019,"b""Xan like I'm Noah\n"""
31,23,Bottom Bitch,Hot Pink,2019,"b""Damn, I don't know her no more\n"""
32,23,Bottom Bitch,Hot Pink,2019,b'And she bought a crib\n'
33,23,Bottom Bitch,Hot Pink,2019,b'Then she bought a whip\n'
34,23,Bottom Bitch,Hot Pink,2019,b'In her Prada fit\n'
35,23,Bottom Bitch,Hot Pink,2019,b'Got some Gucci kicks\n'
36,23,Bottom Bitch,Hot Pink,2019,b'That\xe2\x80\x99s my bottom bitch\n'
37,23,Bottom Bitch,Hot Pink,2019,"b""'Cause she 'bout it, bitch\n"""
38,23,Bottom Bitch,Hot Pink,2019,"b""And I'm proud of it\n"""
39,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, that's my trick (Trick, trick)\n"""
40,23,Bottom Bitch,Hot Pink,2019,"b""I'm her pimp (Pimp, pimp)She my flip (Flip, flip)\n"""
41,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, don't forget (Get, get)\n"""
42,23,Bottom Bitch,Hot Pink,2019,"b""That's my trick (Trick, trick)\n"""
43,23,Bottom Bitch,Hot Pink,2019,b'She my bottom bitch\n'
44,23,Bottom Bitch,Hot Pink,2019,"b""I'm her pimp (Pimp, pimp)\n"""
45,23,Bottom Bitch,Hot Pink,2019,"b'She my flip (Flip, flip)\n'"
46,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, don't forget (Get, get)\n"""
47,23,Bottom Bitch,Hot Pink,2019,"b""That's my trick (Trick, trick)\n"""
48,23,Bottom Bitch,Hot Pink,2019,b'She my bottom bitch\n'
49,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, that's my trick (That's my trick)\n"""
50,23,Bottom Bitch,Hot Pink,2019,"b""I'm her pimp (I'm her pimp)\n"""
51,23,Bottom Bitch,Hot Pink,2019,b'She my flip (She my flip)\n'
52,23,Bottom Bitch,Hot Pink,2019,"b""Ooh, don't forget (Don't forget)\n"""
53,23,Bottom Bitch,Hot Pink,2019,"b""That's my trick (That's my trick)\n"""
54,23,Bottom Bitch,Hot Pink,2019,b'She my bottom bitch\n'
55,23,Bottom Bitch,Hot Pink,2019,"b""I'm her pimp (I'm her pimp)\n"""
