,Track Number,Track Title,Album Name,Year Released,Lyric
0,41,Casual,Amala,2018,"b""Take it off, follow me now, let me in, don't shut me out\n"""
1,41,Casual,Amala,2018,"b""Don't tell me you love me if that's not how it really is\n"""
2,41,Casual,Amala,2018,"b""Take it off, follow me now, let me in, don't shut me out\n"""
3,41,Casual,Amala,2018,"b""Don't tell me you love me if that's not how it really is\n"""
4,41,Casual,Amala,2018,b'Is it casual?Or are you tryna spend your life with me?\n'
5,41,Casual,Amala,2018,b'Or are you tryna spend your life with me?\n'
6,41,Casual,Amala,2018,"b""I don't mean to pressure you\n"""
7,41,Casual,Amala,2018,"b'But I want a man to stand and fight, stand and fight for me\n'"
8,41,Casual,Amala,2018,"b""You don't need to paint me a sweet fantasy\n"""
9,41,Casual,Amala,2018,"b'We chill, I kick back, you roll up my weed\n'"
10,41,Casual,Amala,2018,"b""Say what you feel, don't just say anything\n"""
11,41,Casual,Amala,2018,b'Why complicate what could be so easy?\n'
12,41,Casual,Amala,2018,b'Leave me alone\n'
13,41,Casual,Amala,2018,"b""If you is a player, I don't think I'ma play with you, uh-uh\n"""
14,41,Casual,Amala,2018,b'This shit get old\n'
15,41,Casual,Amala,2018,"b""If you wanna lay with her, why don't you just stay with her?\n"""
16,41,Casual,Amala,2018,b'This shit get old\n'
17,41,Casual,Amala,2018,"b""If you wanna lay with her, why don't you just stay with her?\n"""
18,41,Casual,Amala,2018,"b""You say you don't want a girlfriend but when we are in person\n"""
19,41,Casual,Amala,2018,"b'You always act so different, you make it all seem perfect\n'"
20,41,Casual,Amala,2018,"b'You hold me when we wake up, say you like me with no makeup\n'"
21,41,Casual,Amala,2018,"b""I'm tryin' to be patient, how am I supposed to take it?\n"""
22,41,Casual,Amala,2018,b'Is it casual?\n'
23,41,Casual,Amala,2018,b'Or are you tryna spend your life with me?\n'
24,41,Casual,Amala,2018,"b""I don't mean to pressure you\n"""
25,41,Casual,Amala,2018,b'But I want a man to stand and fight for me\n'
26,41,Casual,Amala,2018,b'Is it casual?\n'
27,41,Casual,Amala,2018,b'Or are you tryna spend your life with me?\n'
28,41,Casual,Amala,2018,"b""I don't mean to pressure you\n"""
29,41,Casual,Amala,2018,"b'But I want a man to stand and fight, stand and fight for me\n'"
30,41,Casual,Amala,2018,b'You might also like\n'
31,41,Casual,Amala,2018,"b""I'm sick of chillin', sippin' on Tecate\n"""
32,41,Casual,Amala,2018,"b'That life is a bore, we needed more than drunken Fridays\n'"
33,41,Casual,Amala,2018,"b""I'm not dissin' your freedom, I know you like to party\n"""
34,41,Casual,Amala,2018,"b""Just don't be that boy who fuck with anything that gyrate\n"""
35,41,Casual,Amala,2018,"b""I know you know I'm right, pick up on the vibe\n"""
36,41,Casual,Amala,2018,"b""If you read between the lines, bein' shy just ain't my style, now\n"""
37,41,Casual,Amala,2018,"b""You say you don't want a girlfriend but when we are in person\n"""
38,41,Casual,Amala,2018,"b'You always act so different, you make it all seem perfect\n'"
39,41,Casual,Amala,2018,"b'You hold me when we wake up, say you like me with no makeup\n'"
40,41,Casual,Amala,2018,"b""I'm trying to be patient, how am I supposed to take it?\n"""
41,41,Casual,Amala,2018,b'Is it casual?\n'
42,41,Casual,Amala,2018,b'Or are you tryna spend your life with me?\n'
43,41,Casual,Amala,2018,"b""I don't mean to pressure you\n"""
44,41,Casual,Amala,2018,b'But I want a man to stand and fight for me\n'
45,41,Casual,Amala,2018,b'Is it casual?\n'
46,41,Casual,Amala,2018,b'Or are you tryna spend your life with me?\n'
47,41,Casual,Amala,2018,"b""I don't mean to pressure you\n"""
48,41,Casual,Amala,2018,"b'But I want a man to stand and fight, stand and fight for me\n'"
49,41,Casual,Amala,2018,b'If you wanna be the one\n'
50,41,Casual,Amala,2018,"b""Don't act sad and wait\n"""
51,41,Casual,Amala,2018,b'And waste my day\n'
52,41,Casual,Amala,2018,"b""I'm not that way\n"""
53,41,Casual,Amala,2018,b'Is it casual?\n'
54,41,Casual,Amala,2018,b'Or are you tryna spend your life with me?\n'
55,41,Casual,Amala,2018,"b""I don't mean to pressure you\n"""
56,41,Casual,Amala,2018,b'But I want a man to stand and fight for me\n'
57,41,Casual,Amala,2018,b'Is it casual?\n'
58,41,Casual,Amala,2018,b'Spend your life with me\n'
59,41,Casual,Amala,2018,b'Pressure you\n'
60,41,Casual,Amala,2018,"b'But I want a man to stand and fight, stand and fight for me\n'"
