,Track Number,Track Title,Album Name,Year Released,Lyric
0,33,Cookie Jar,Amala,2018,"b'Yeah, yeah, yeah, yeah\n'"
1,33,Cookie Jar,Amala,2018,"b'Yeah, yeah, yeah, yeah\n'"
2,33,Cookie Jar,Amala,2018,"b'Yeah, yeah, yeah, yeah\n'"
3,33,Cookie Jar,Amala,2018,"b'Yeah, yeah\n'"
4,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
5,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
6,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
7,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
8,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
9,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
10,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
11,33,Cookie Jar,Amala,2018,"b'Brookie, he rookie, he want the cookie, the cookie\n'"
12,33,Cookie Jar,Amala,2018,"b""I think you thirsty, you milkin' it, tryna crook me, \n"""
13,33,Cookie Jar,Amala,2018,"b""For something sweet, and you're right, but I can't be that tonight\n"""
14,33,Cookie Jar,Amala,2018,"b""Love had her shavin' it clean, but now that pussy on Wookiee, boy\n"""
15,33,Cookie Jar,Amala,2018,"b'Go and handle your part, caught you with hands in that jar\n'"
16,33,Cookie Jar,Amala,2018,"b""Suckin' that sweet tooth, that canker sore, too low, need to crank it more\n"""
17,33,Cookie Jar,Amala,2018,"b""And you know you've been savin' for all them bitches who pay you more\n"""
18,33,Cookie Jar,Amala,2018,"b'He call me Oreo, break it and lick the flavor off, and\n'"
19,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies areYeah, I caught yo' ass red-handed in that cookie jarBoy what you lookin' for? You know where them cookies areYeah, I caught yo' ass red-handed in that cookie jar\n"""
20,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
21,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
22,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
23,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
24,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
25,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
26,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
27,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that\n"""
28,33,Cookie Jar,Amala,2018,b'Baby\n'
29,33,Cookie Jar,Amala,2018,"b'Everybody like, ""Notice me, Senpai""\n'"
30,33,Cookie Jar,Amala,2018,"b""Y'all niggas all woe is me, woe is me\n"""
31,33,Cookie Jar,Amala,2018,"b""On the billboard, that's me Senpai\n"""
32,33,Cookie Jar,Amala,2018,"b""Y'all niggas ain't cold as me\n"""
33,33,Cookie Jar,Amala,2018,"b'Hold my hoops, knock it out cold, all these hands tied\n'"
34,33,Cookie Jar,Amala,2018,"b'I fight for the cause, and tight with ya broad\n'"
35,33,Cookie Jar,Amala,2018,"b""'Cause I can afford that, drama come, I ignore that\n"""
36,33,Cookie Jar,Amala,2018,"b""Fuck talkin', she record that, Pok\xc3\xa9mon Go, you Snorlax\n"""
37,33,Cookie Jar,Amala,2018,"b""Swear they been sleepin' on me\n"""
38,33,Cookie Jar,Amala,2018,"b""Swear they been sleepin' on me\n"""
39,33,Cookie Jar,Amala,2018,"b""Breakfast at Tiffany's, \n"""
40,33,Cookie Jar,Amala,2018,"b""You seein' all that's to see, baby, yeah, yeah, yeah\n"""
41,33,Cookie Jar,Amala,2018,b'You might also like\n'
42,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
43,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
44,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
45,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
46,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
47,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
48,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
49,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
50,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
51,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
52,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
53,33,Cookie Jar,Amala,2018,"b""Caught yo' ass red-handed in that cookie jar, yuh\n"""
54,33,Cookie Jar,Amala,2018,b'Boy I know that you need that choco-chip\n'
55,33,Cookie Jar,Amala,2018,b'I got extra taco but you better bring that macho grip\n'
56,33,Cookie Jar,Amala,2018,"b""Not gon' fuck around, you had me fooled, thinkin' you not gon' slip\n"""
57,33,Cookie Jar,Amala,2018,"b""It's my modern life, make me wanna find some Rocko dick\n"""
58,33,Cookie Jar,Amala,2018,b'I will dig it up and bring that shit back like some moccasins\n'
59,33,Cookie Jar,Amala,2018,"b""You don't want these problems, fuck a promise, \n"""
60,33,Cookie Jar,Amala,2018,"b""I thought love was blind but you lookin', tryna find a trick fine as this\n"""
61,33,Cookie Jar,Amala,2018,"b""You won't get these sweets again, like Violet, you childish\n"""
62,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
63,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
64,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
65,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
66,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
67,33,Cookie Jar,Amala,2018,"b""Boy what you lookin' for? You know where them cookies are\n"""
68,33,Cookie Jar,Amala,2018,"b""Yeah, I caught yo' ass red-handed in that cookie jar\n"""
69,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
70,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
71,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
72,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
73,33,Cookie Jar,Amala,2018,"b""Caught yo' ass red-handed in that cookie jar\n"""
74,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
75,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
76,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
77,33,Cookie Jar,Amala,2018,"b""Oh-ooh-oh, and what, you lookin' for it?\n"""
78,33,Cookie Jar,Amala,2018,"b""Caught yo' ass red-handed in that cookie jar, yuh\n"""
