,Track Number,Track Title,Album Name,Year Released,Lyric
0,20,Cyber Sex,Hot Pink,2019,b'I wanna touch on you (On you)\n'
1,20,Cyber Sex,Hot Pink,2019,b'You see me in my room (My room)\n'
2,20,Cyber Sex,Hot Pink,2019,b'Wish you\xe2\x80\x85were\xe2\x80\x85here right now\xe2\x80\x85(Right now)\n'
3,20,Cyber Sex,Hot Pink,2019,"b""All of the things I'd\xe2\x80\x85do\n"""
4,20,Cyber Sex,Hot Pink,2019,b'I wanna get freaky on camera\n'
5,20,Cyber Sex,Hot Pink,2019,b'I love when we get freaky on camera\n'
6,20,Cyber Sex,Hot Pink,2019,b'We freak on the cam\n'
7,20,Cyber Sex,Hot Pink,2019,"b""Love at first sight, just a link to the 'Gram\n"""
8,20,Cyber Sex,Hot Pink,2019,"b""Pussy all pink with a tanAnd I play with it 'til my middle fingers are cramped up\n"""
9,20,Cyber Sex,Hot Pink,2019,"b""And I play with it 'til my middle fingers are cramped up\n"""
10,20,Cyber Sex,Hot Pink,2019,"b""Swipe right 'cause he thick and he handsome\n"""
11,20,Cyber Sex,Hot Pink,2019,"b'Love a sneak peek, when you free? Can we cam up?\n'"
12,20,Cyber Sex,Hot Pink,2019,"b'No shot to the screen, put your hands up\n'"
13,20,Cyber Sex,Hot Pink,2019,b'Make it pop in your face like a Samsung\n'
14,20,Cyber Sex,Hot Pink,2019,"b""And that's my nigga, better yet, that's my hitta\n"""
15,20,Cyber Sex,Hot Pink,2019,"b""He don't leak nudes, and if you do you could go missin'\n"""
16,20,Cyber Sex,Hot Pink,2019,"b'Met him on Tinder, he just swipe left on bitches\n'"
17,20,Cyber Sex,Hot Pink,2019,"b""And he don't even scroll through Insta''Less he going through my pictures\n"""
18,20,Cyber Sex,Hot Pink,2019,"b""'Less he going through my pictures\n"""
19,20,Cyber Sex,Hot Pink,2019,b'I wanna touch on you (On you)\n'
20,20,Cyber Sex,Hot Pink,2019,b'You see me in my room (My room)\n'
21,20,Cyber Sex,Hot Pink,2019,b'Wish you were here right now (Right now)\n'
22,20,Cyber Sex,Hot Pink,2019,"b""All of the things I'd do\n"""
23,20,Cyber Sex,Hot Pink,2019,b'I wanna get freaky on camera\n'
24,20,Cyber Sex,Hot Pink,2019,b'I love when we get freaky on camera\n'
25,20,Cyber Sex,Hot Pink,2019,b'You might also like\n'
26,20,Cyber Sex,Hot Pink,2019,"b'Is you into that? (Into that, is you into that? Uh-uh)\n'"
27,20,Cyber Sex,Hot Pink,2019,"b""Let's break the internet (Internet, on the internet, oh-oh)\n"""
28,20,Cyber Sex,Hot Pink,2019,"b""We do it the best (It the best, doin' it the best, uh-uh)\n"""
29,20,Cyber Sex,Hot Pink,2019,"b""When we have cybersex (Cybersex, havin' cybersex, oh-oh)\n"""
30,20,Cyber Sex,Hot Pink,2019,"b'When he off work, he calling me on Skype (Yeah)\n'"
31,20,Cyber Sex,Hot Pink,2019,"b""Trust me when I meet him, I'm fucking him on sight (Yeah)\n"""
32,20,Cyber Sex,Hot Pink,2019,"b""Lemme see you beat it, I'm feelin' just like Mike (Okay, okay)\n"""
33,20,Cyber Sex,Hot Pink,2019,"b""Huh, oh, surf that 'til I drown in all of your pics\n"""
34,20,Cyber Sex,Hot Pink,2019,"b""Can't scroll down 'cause some of them dicks (Ya)\n"""
35,20,Cyber Sex,Hot Pink,2019,"b'Think of my parents going through my shit (My shit, my shit)\n'"
36,20,Cyber Sex,Hot Pink,2019,"b""Huh, oh, can't give head, you give me the FaceTime\n"""
37,20,Cyber Sex,Hot Pink,2019,"b'Nigga, you a creep, I saw you on Dateline\n'"
38,20,Cyber Sex,Hot Pink,2019,"b""You ain't gettin' pussy, you fucking an AI\n"""
39,20,Cyber Sex,Hot Pink,2019,"b'Huh, oh, what a time to be aliveLiving in the future, blinging on my hotline\n'"
40,20,Cyber Sex,Hot Pink,2019,"b'Living in the future, blinging on my hotline\n'"
41,20,Cyber Sex,Hot Pink,2019,b'I wanna touch on you (On you)\n'
42,20,Cyber Sex,Hot Pink,2019,b'You see me in my room (My room)\n'
43,20,Cyber Sex,Hot Pink,2019,b'Wish you were here right now (Right now)\n'
44,20,Cyber Sex,Hot Pink,2019,"b""All of the things I'd do\n"""
45,20,Cyber Sex,Hot Pink,2019,b'I wanna get freaky on camera\n'
46,20,Cyber Sex,Hot Pink,2019,b'I love when we get freaky on camera\n'
47,20,Cyber Sex,Hot Pink,2019,b'I wanna touch on you (On you)\n'
48,20,Cyber Sex,Hot Pink,2019,b'You see me in my room (My room)\n'
49,20,Cyber Sex,Hot Pink,2019,b'Wish you were here right now (Right now)\n'
50,20,Cyber Sex,Hot Pink,2019,"b""All of the things I'd do\n"""
51,20,Cyber Sex,Hot Pink,2019,b'I wanna get freaky on camera\n'
52,20,Cyber Sex,Hot Pink,2019,b'I love when we get freaky on camera\n'
53,20,Cyber Sex,Hot Pink,2019,"b'Is you into that? (Into that, is you into that? Uh-uh)\n'"
54,20,Cyber Sex,Hot Pink,2019,"b""Let's break the internet (Internet, on the internet, oh-oh)\n"""
55,20,Cyber Sex,Hot Pink,2019,"b""We do it the best (It the best, doin' it the best, uh-uh)\n"""
56,20,Cyber Sex,Hot Pink,2019,"b""When we have cybersex (Cybersex, havin' cybersex, oh-oh)\n"""
