,Track Number,Track Title,Album Name,Year Released,Lyric
0,36,Fancy,Amala,2018,"b""All my fellas, they be actin' jealous\n"""
1,36,Fancy,Amala,2018,"b""They don't understand me, prolly cause I'm fancy, ooh, ooh\n"""
2,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
3,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
4,36,Fancy,Amala,2018,"b""You would think I'm royal, baby look so spoiled\n"""
5,36,Fancy,Amala,2018,"b'Mommy brush this dirt off, like I own this soil\n'"
6,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
7,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
8,36,Fancy,Amala,2018,"b'Yuh, prolly how I come across\n'"
9,36,Fancy,Amala,2018,"b'Honey if you pay, I talk (I talk)\n'"
10,36,Fancy,Amala,2018,b'Prolly love the way I floss (I)\n'
11,36,Fancy,Amala,2018,b'Make you feel a type of way\n'
12,36,Fancy,Amala,2018,"b""Fuck 'bout what you say though\n"""
13,36,Fancy,Amala,2018,"b""Never miss a meal like Ross'Bout to flip a mil like Ross, ayy\n"""
14,36,Fancy,Amala,2018,"b""'Bout to flip a mil like Ross, ayy\n"""
15,36,Fancy,Amala,2018,"b""They don't know me 'hind closed doors, ayy\n"""
16,36,Fancy,Amala,2018,"b'You could never find me lost, and I bet you the boss\n'"
17,36,Fancy,Amala,2018,"b""But baby I'm bosser\n"""
18,36,Fancy,Amala,2018,"b'Used to be daughter, they call me mother now\n'"
19,36,Fancy,Amala,2018,"b""Treatin' me like no other\n"""
20,36,Fancy,Amala,2018,"b'Swag underwater, bread in the butter now\n'"
21,36,Fancy,Amala,2018,"b'Wallet, wallet in pocket, pocket\n'"
22,36,Fancy,Amala,2018,"b'Give five to the valet and she park it, park it\n'"
23,36,Fancy,Amala,2018,"b""No games but I'm ballin', call it crocket, crocket\n"""
24,36,Fancy,Amala,2018,"b""I'm a target but I never shop at Target, got it?\n"""
25,36,Fancy,Amala,2018,"b""All my fellas, they be actin' jealous\n"""
26,36,Fancy,Amala,2018,"b""They don't understand me, prolly cause I'm fancy, ooh, ooh\n"""
27,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
28,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
29,36,Fancy,Amala,2018,"b""You would think I'm royal, baby look so spoiled\n"""
30,36,Fancy,Amala,2018,"b'Mommy brush this dirt off, like I own this soil\n'"
31,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
32,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
33,36,Fancy,Amala,2018,"b""It get lonely at the top, I'ma stack my guap\n"""
34,36,Fancy,Amala,2018,"b""I'ma make 'em dance, chain all on my neck\n"""
35,36,Fancy,Amala,2018,"b'Drank all on my dress, four hunnid a pop\n'"
36,36,Fancy,Amala,2018,"b""Lonely at the top, I'ma stack my guap\n"""
37,36,Fancy,Amala,2018,"b""I'ma make 'em dance, chain all on my neck\n"""
38,36,Fancy,Amala,2018,"b'Drank all on my dress, four hunnid a pop\n'"
39,36,Fancy,Amala,2018,"b""All my fellas, they be actin' jealous\n"""
40,36,Fancy,Amala,2018,"b""They don't understand me, prolly cause I'm fancy, ooh, ooh\n"""
41,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
42,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
43,36,Fancy,Amala,2018,"b""You would think I'm royal, baby look so spoiled\n"""
44,36,Fancy,Amala,2018,"b'Mommy brush this dirt off, like I own this soil\n'"
45,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
46,36,Fancy,Amala,2018,"b""Prolly cause I'm fancy, \n"""
