,Track Number,Track Title,Album Name,Year Released,Lyric
0,40,Game,Amala,2018,b'Is it bad if I care for you?\n'
1,40,Game,Amala,2018,b'You make it seem like it is a crime that I love you\n'
2,40,Game,Amala,2018,b'Is it bad if I care for you?\n'
3,40,Game,Amala,2018,b'You make it seem like it is a crime that I love you\n'
4,40,Game,Amala,2018,"b'I did the most, I gave my all\n'"
5,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
6,40,Game,Amala,2018,"b'I did the most, I gave my all\n'"
7,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
8,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
9,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
10,40,Game,Amala,2018,b'It seems so official\n'
11,40,Game,Amala,2018,"b""Boy I waited, waited, dodgin' players just to get you\n"""
12,40,Game,Amala,2018,"b""They been sayin' things, just instigators, while I kept you\n"""
13,40,Game,Amala,2018,"b""This shit seem automatic, I have, I ain't into\n"""
14,40,Game,Amala,2018,"b""You don't really want me now\n"""
15,40,Game,Amala,2018,"b""You know there's always someone else\n"""
16,40,Game,Amala,2018,"b""You did it to me like you've played this game\n"""
17,40,Game,Amala,2018,"b'I did the most, I gave my all\n'"
18,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
19,40,Game,Amala,2018,"b'I did the most, I gave my all\n'"
20,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
21,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
22,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
23,40,Game,Amala,2018,"b'Yah, throw hands in the air\n'"
24,40,Game,Amala,2018,"b""Swear I can't bring that ass anywhere\n"""
25,40,Game,Amala,2018,"b""You don't wanna fling, bring that ass over here\n"""
26,40,Game,Amala,2018,"b""Boy, feelin' like a contest, how you wanna stare\n"""
27,40,Game,Amala,2018,"b'Your attention span prolly long as your hair, too\n'"
28,40,Game,Amala,2018,"b""If you're true, why you gotta dare, boo?\n"""
29,40,Game,Amala,2018,b'Some win and some gotta lose\n'
30,40,Game,Amala,2018,"b""You really need love, two L's, no cool\n"""
31,40,Game,Amala,2018,"b'It is not me, nor them, just you\n'"
32,40,Game,Amala,2018,"b""Acting like a fiend and the perp gon' shoot\n"""
33,40,Game,Amala,2018,"b""Act seventeen when you're thirty-two\n"""
34,40,Game,Amala,2018,b'Pussy too clean and it purty too\n'
35,40,Game,Amala,2018,"b""So I can't intervene on your escapades\n"""
36,40,Game,Amala,2018,"b""'Cause I ain't really tryna be the next to pay\n"""
37,40,Game,Amala,2018,"b'And be the next to say, ""I got an ex today""\n'"
38,40,Game,Amala,2018,b'I can see it in your eyes when you flex your games and shit (Yeah)\n'
39,40,Game,Amala,2018,b'You might also like\n'
40,40,Game,Amala,2018,"b'I did the most, I gave my all\n'"
41,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
42,40,Game,Amala,2018,"b'I did the most, I gave my all\n'"
43,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
44,40,Game,Amala,2018,"b'I did the most, I gave my all\n'"
45,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
46,40,Game,Amala,2018,"b'I did the most, I gave my all\n'"
47,40,Game,Amala,2018,"b""You did it to me like you've played this game before\n"""
