,Track Number,Track Title,Album Name,Year Released,Lyric
0,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah\n'"
1,32,Go To Town,Amala,2018,"b'Let me see you go to town, yeah\n'"
2,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah\n'"
3,32,Go To Town,Amala,2018,"b'Let me see you go to townGo down, go down, go down, yeah\n'"
4,32,Go To Town,Amala,2018,"b'Let me see you go to town, yeah\n'"
5,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah, yeah, yeah\n'"
6,32,Go To Town,Amala,2018,"b'Let me see you go to town, yeah\n'"
7,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah\n'"
8,32,Go To Town,Amala,2018,b'Let me see you go to town\n'
9,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah\n'"
10,32,Go To Town,Amala,2018,"b'Let me see you go to town, yeah\n'"
11,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah, yeah, yeah\n'"
12,32,Go To Town,Amala,2018,"b""If you're down, boy, really down\n"""
13,32,Go To Town,Amala,2018,"b'Baby, let me watch you go to town\n'"
14,32,Go To Town,Amala,2018,"b""It's your one chance, baby, never or now, yeah\n"""
15,32,Go To Town,Amala,2018,"b'Let me see you go to town, baby\n'"
16,32,Go To Town,Amala,2018,"b'Go to town, yeahBaby, let me watch you go to town\n'"
17,32,Go To Town,Amala,2018,"b""It's your one chance, baby, never or now, yeah, yeah, yeah, hey\n"""
18,32,Go To Town,Amala,2018,"b'Baby, let me watch you go to town\n'"
19,32,Go To Town,Amala,2018,"b""It's your one chance, baby, never or now, yeah\n"""
20,32,Go To Town,Amala,2018,"b'Let me see you go to town, baby\n'"
21,32,Go To Town,Amala,2018,"b'Go to town, yeah\n'"
22,32,Go To Town,Amala,2018,"b'Baby, let me watch you go to town\n'"
23,32,Go To Town,Amala,2018,"b""It's your one chance, baby, never or now, yeah, yeah, yeah, hey\n"""
24,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah\n'"
25,32,Go To Town,Amala,2018,"b'Let me see you go to town, yeah\n'"
26,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah\n'"
27,32,Go To Town,Amala,2018,"b'Let me see you go to townGo down, go down, go down, yeah\n'"
28,32,Go To Town,Amala,2018,"b'Let me see you go to town, yeahGo down, go down, go down, yeah, yeah, yeah\n'"
29,32,Go To Town,Amala,2018,"b'Let me see you go to town, yeah\n'"
30,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah\n'"
31,32,Go To Town,Amala,2018,b'Let me see you go to town\n'
32,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah\n'"
33,32,Go To Town,Amala,2018,"b'Let me see you go to town, yeah\n'"
34,32,Go To Town,Amala,2018,"b'Go down, go down, go down, yeah, yeah, yeah\n'"
35,32,Go To Town,Amala,2018,"b'Go to town with itAnd she shave it all off, Charlie Brown with it\n'"
36,32,Go To Town,Amala,2018,"b'And she shave it all off, Charlie Brown with it\n'"
37,32,Go To Town,Amala,2018,"b""Lookin' all around, all them other girls sound fishy\n"""
38,32,Go To Town,Amala,2018,"b""He ain't ever caught a whiff, that's why he down with it, yeah\n"""
39,32,Go To Town,Amala,2018,"b""Bitch, I'm tellin' you, this incredibleThis shit edibleIt's like caramel, kiss my genital\n"""
