,Track Number,Track Title,Album Name,Year Released,Lyric
0,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Love got me fucked up\n'
1,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Got me on stuck, chasin' that rush\n"""
2,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Had to give in, couldn't give up\n"""
3,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""I just want you, but I don't do drugs\n"""
4,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""I just want you, but I don't do drugs\n"""
5,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Still I want you, ooh-ooh\n'"
6,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh\n'"
7,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh\n'"
8,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Ooh\n'
9,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'All I want is you, ooh-ooh\n'"
10,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh\n'"
11,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh\n'"
12,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Ooh\n'
13,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Baby, I've been in my bag\n"""
14,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""You don't really hit me back\n"""
15,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""You don't really hit me back\n"""
16,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""'Cause I feel like I'm attached\n"""
17,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Shoulda never kissed you back\n'
18,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Ever since I fell in love\n'
19,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Not quite like bein' trapped\n"""
20,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'More like a sickness that\n'
21,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Keeps me addicted bad\n'
22,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Hard for me to let you go (Let you go, let you go)\n'"
23,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""My body wouldn't let me hide it (Hide it)\n"""
24,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""My body wouldn't let me hide it (Hide it)\n"""
25,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""No matter what, I wouldn't fold (Wouldn't fold, wouldn't fold)\n"""
26,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Ridin' through the thunder, lightnin'\n"""
27,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'(And I)\n'
28,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Forgive me, I brought it upon myself\n'"
29,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'(And I)\n'
30,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Need\xd0\xb5d a fix of you, not just one kiss from youI needed more\n'"
31,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'I needed more\n'
32,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Lov\xd0\xb5 got me fucked up\n'
33,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Got me on stuck, chasin' that rush\n"""
34,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Had to give in, couldn't give upI just want you, but I don't do drugs\n"""
35,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""I just want you, but I don't do drugs\n"""
36,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'You might also like\n'
37,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Still I want you, ooh-ooh (All I want is my baby)\n'"
38,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh (All I want is my baby)\n'"
39,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh (All I want is my baby)\n'"
40,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh (My baby, my baby)\n'"
41,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'All I want is you, ooh-ooh (All I want is my baby)\n'"
42,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh (All I want is my baby)\n'"
43,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh (All I want is my baby)\n'"
44,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh (My baby, my baby)\n'"
45,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Tryna stay in my lane\n'
46,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'I should play on the safe side\n'
47,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""But you fuckin' me up on this FaceTime\n"""
48,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Faded, pourin' all over you\n"""
49,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Know exactly what I wanna do\n'
50,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'So, baby, can you get it from the back?\n'"
51,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Got me purrin' like I'm Doja Cat\n"""
52,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Got me purrin' like I'm Doja Cat\n"""
53,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Keep me in your bag'Cause you wanna hear me say I'm comin' back\n"""
54,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""'Cause you wanna hear me say I'm comin' back\n"""
55,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'But this time, I want support, just make it lastWoah-oh (Ah)\n'"
56,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Woah-oh (Ah)\n'
57,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""It's hard for me to let you go (Let you go)\n"""
58,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""My body wouldn't let me \n"""
59,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""No matter what, I wouldn't fold (Wouldn't fold)\n"""
60,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Ridin' through the thunder, lightnin'\n"""
61,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'(And I)\n'
62,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Forgive me, I brought it upon myself\n'"
63,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'(And I)\n'
64,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Needed a fix of you, not just one kiss from youI needed more\n'"
65,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'I needed more\n'
66,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Love got me fucked up\n'
67,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Got me on stuck, \n'"
68,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""Had to give in, couldn't give up (I couldn't give up)\n"""
69,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b""I just want you, but I don't do drugs\n"""
70,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'I just want you, but \n'"
71,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Still I want you, ooh-ooh\n'"
72,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh\n'"
73,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh\n'"
74,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Ooh\n'
75,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'All I want is you, ooh-ooh\n'"
76,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh\xe2\x80\x8b\n'"
77,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,"b'Ooh, ooh-ooh\n'"
78,6,I Don't Do Drugs (Ft. Ariana Grande),Planet Her,2021,b'Ooh\n'
