,Track Number,Track Title,Album Name,Year Released,Lyric
0,12,Imagine,Planet Her,2021,"b'Imagine, imagine\n'"
1,12,Imagine,Planet Her,2021,b'Put the studio in the mansion\n'
2,12,Imagine,Planet Her,2021,b'Pull up in a new high fashion\n'
3,12,Imagine,Planet Her,2021,"b'Pull up just like, ""Ooh, you a baddie""\n'"
4,12,Imagine,Planet Her,2021,"b'Imagine, imagine\n'"
5,12,Imagine,Planet Her,2021,b'Put the studio in the mansion\n'
6,12,Imagine,Planet Her,2021,b'Pull up in a new high\xe2\x81\x9ffashion\n'
7,12,Imagine,Planet Her,2021,"b'I\xe2\x81\x9fpull\xe2\x81\x9fup just like,\xe2\x81\x9f""Ooh, you a\xe2\x81\x9fbaddie""\n'"
8,12,Imagine,Planet Her,2021,"b""You couldn't be more wrong\n"""
9,12,Imagine,Planet Her,2021,b'We show up and show out\n'
10,12,Imagine,Planet Her,2021,"b'Five-hundred racks, sold outI never been more proud\n'"
11,12,Imagine,Planet Her,2021,b'I never been more proud\n'
12,12,Imagine,Planet Her,2021,b'Need more light on me (Diamond)\n'
13,12,Imagine,Planet Her,2021,b'Shine on me\n'
14,12,Imagine,Planet Her,2021,b'This my final form\n'
15,12,Imagine,Planet Her,2021,"b'Tell \'em all, ""Chile, please""\n'"
16,12,Imagine,Planet Her,2021,"b'Baby, I blow your mind (Slander)\n'"
17,12,Imagine,Planet Her,2021,b'Buy all these\n'
18,12,Imagine,Planet Her,2021,b'Pussy on\n'
19,12,Imagine,Planet Her,2021,b'Gimme that\n'
20,12,Imagine,Planet Her,2021,"b'Imagine, imagine\n'"
21,12,Imagine,Planet Her,2021,b'Put the studio in the mansion\n'
22,12,Imagine,Planet Her,2021,b'Pull up in a new high fashion\n'
23,12,Imagine,Planet Her,2021,"b'Pull up just like, ""Ooh, you a baddie""\n'"
24,12,Imagine,Planet Her,2021,"b'Imagine, imagine (Mmm, mmm)\n'"
25,12,Imagine,Planet Her,2021,"b'Put the studio in the mansion (Mmm, mmm)\n'"
26,12,Imagine,Planet Her,2021,"b'Pull up in a new high fashion (Mmm, mmm)\n'"
27,12,Imagine,Planet Her,2021,"b'I pull up just like, ""Ooh, you a baddie"" (Mmm, mmm)\n'"
28,12,Imagine,Planet Her,2021,b'All this work (This work) paid off (Off)\n'
29,12,Imagine,Planet Her,2021,b'When they had no faith at all (Faith at all)\n'
30,12,Imagine,Planet Her,2021,"b""One min. livin' bummy, then go pray to God (Pray to God)\n"""
31,12,Imagine,Planet Her,2021,b'Fuck around and go completely un-relatable\n'
32,12,Imagine,Planet Her,2021,"b'Like imagine, imagine\n'"
33,12,Imagine,Planet Her,2021,b'Thick as fuck but all I eat is salad\n'
34,12,Imagine,Planet Her,2021,"b""Saucin' with my thousands on an island\n"""
35,12,Imagine,Planet Her,2021,"b""Saucin' with my thousands on an island\n"""
36,12,Imagine,Planet Her,2021,"b""Got imagination 'cause I'm childish\n"""
37,12,Imagine,Planet Her,2021,"b'Imagine, imagine\n'"
38,12,Imagine,Planet Her,2021,b'Put the studio in the mansion\n'
39,12,Imagine,Planet Her,2021,b'Pull up in a new high fashion\n'
40,12,Imagine,Planet Her,2021,"b'Pull up just like, ""Ooh, you a baddie""\n'"
41,12,Imagine,Planet Her,2021,"b'Imagine, imagine (Mmm, mmm)\n'"
42,12,Imagine,Planet Her,2021,"b'Put the studio in the mansion (Mmm, mmm)\n'"
43,12,Imagine,Planet Her,2021,"b'Pull up in a new high fashion (Mmm, mmm)\n'"
44,12,Imagine,Planet Her,2021,"b'I pull up just like, ""Ooh, you a baddie"" (Mmm, mmm)\n'"
