,Track Number,Track Title,Album Name,Year Released,Lyric
0,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'We hug and, yes, we make love\n'"
1,14,Kiss Me More (Ft. SZA),Planet Her,2021,b'And always just say goodnight (La-la-la-la-la-la)\n'
2,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'And we cuddle, sure, I do love it\n'"
3,14,Kiss Me More (Ft. SZA),Planet Her,2021,b'But I need your lips on mine\n'
4,14,Kiss Me More (Ft. SZA),Planet Her,2021,b'Can you kiss me more?\n'
5,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""We're so young, boy, we ain't got nothin' to lose, uh-oh\n"""
6,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""It's just principle\n"""
7,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""Baby, hold me 'cause I like the way you groove, uh-oh\n"""
8,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'Boy, you write your name, I can do the same\n'"
9,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'Oh, I love the taste, la-la-la-la-la-la\n'"
10,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'All on my tongue, I want it (La-la-la-la-la-la)\n'"
11,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'Boy, you write your name, I can do the same\n'"
12,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'Oh, I love the taste, la-la-la-la-la-la\n'"
13,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'All on my tongue, I want it (La-la-la-la-la-la)\n'"
14,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""I, I feel like fuckin' somethin'\n"""
15,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'But we could be corny, fuck it\n'"
16,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""Sugar, I ain't no dummy, dummy\n"""
17,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'I lik\xd0\xb5 to say, ""What if?"", but if\n'"
18,14,Kiss Me More (Ft. SZA),Planet Her,2021,b'We could kiss and just cut the rubbish\n'
19,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""Then I might b\xd0\xb5 onto somethin'\n"""
20,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""I ain't givin' you one in public\n"""
21,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""I'm givin' you hundreds, fuck it\n"""
22,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""Somethin' we just gotta get into\n"""
23,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'Sign first, middle, last on the wisdom tooth\n'"
24,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""Niggas wishin' that the pussy was a kissin' booth\n"""
25,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'Taste breakfast, lunch, and gin and juice\n'"
26,14,Kiss Me More (Ft. SZA),Planet Her,2021,b'And that dinner just like dessert too\n'
27,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'And when we French, refresh, gimme two\n'"
28,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'When I bite that lip, come get me too\n'"
29,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b'He want lipstick, lip gloss, hickeys too, huh\n'"
30,14,Kiss Me More (Ft. SZA),Planet Her,2021,b'You might also like\n'
31,14,Kiss Me More (Ft. SZA),Planet Her,2021,b'Can you kiss me more?\n'
32,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""We're so young, boy, we ain't got nothin' to lose, uh-oh\n"""
33,14,Kiss Me More (Ft. SZA),Planet Her,2021,"b""It's just principle\n"""
