,Track Number,Track Title,Album Name,Year Released,Lyric
0,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'C\xc3\xa1llate, Mike CrookBurr, burr\n'"
1,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Gucci (Don't stop)\n"""
2,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Doja, GatoYeah (Don't stop)\n"""
3,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'Burr, burr\n'"
4,25,Like That (Ft. Gucci Mane),Hot Pink,2019,b'Gucci\n'
5,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'Doja, Gato\n'"
6,25,Like That (Ft. Gucci Mane),Hot Pink,2019,b'Yeah\n'
7,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Tha-tha-tha-tha-tha-that's my shit, that's my wave\n"""
8,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Do it\xe2\x80\x85like\xe2\x80\x85that and I'll\xe2\x80\x85repay it\n"""
9,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Don't be scared, I ain't\xe2\x80\x85afraid\n"""
10,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'Just like that, come my way\n'"
11,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""That's my shit, that's my wave\n"""
12,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Do it like that and I'll repay it\n"""
13,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Don't be scared, I ain't afraid\n"""
14,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'Just like that, come my way (Yeah)\n'"
15,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'I said, ""Do that, do that, baby, all night long""\n'"
16,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""And I'ma turn off all my phones\n"""
17,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""You know I hate it when I'm left on readBut he make it all up in the bed\n"""
18,25,Like That (Ft. Gucci Mane),Hot Pink,2019,b'But he make it all up in the bed\n'
19,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""And he take me out, dinin' on nothin' but the best\n"""
20,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'He got Off-White on right, damn, he can dress\n'"
21,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Makin' plans from the East, makin' bands in the West\n"""
22,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'Rockstar, Black Beatle type, bands on his bread\n'"
23,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""And baby, I want it, and I'll just be honest\n"""
24,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""'Cause I just can't front when I look at you\n"""
25,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'Just keep it one hundred, when I throw these hundreds\n'"
26,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""I hope that your ass gon' know what to do\n"""
27,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Tha-tha-tha-tha-tha-that's my shit, that's my wave\n"""
28,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Do it like that and I'll repay it\n"""
29,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Don't be scared, I ain't afraid\n"""
30,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b'Just like that, come my way\n'"
31,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""That's my shit, that's my wave\n"""
32,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Do it like that and I'll repay it (\n"""
33,25,Like That (Ft. Gucci Mane),Hot Pink,2019,"b""Don't be scared, I ain't afraid (\n"""
