,Track Number,Track Title,Album Name,Year Released,Lyric
0,7,Love To Dream,Planet Her,2021,"b""I know what you mean, you don't fuck with randoms\n"""
1,7,Love To Dream,Planet Her,2021,"b'I got everything, everything but real love\n'"
2,7,Love To Dream,Planet Her,2021,"b'I got in my head, I bet you could get me back out\n'"
3,7,Love To Dream,Planet Her,2021,"b""Or you could leave me there, 'cause\n"""
4,7,Love To Dream,Planet Her,2021,"b'I got everything, everything but real love\n'"
5,7,Love To Dream,Planet Her,2021,"b'I got in my head, I bet you could get me back out\n'"
6,7,Love To Dream,Planet Her,2021,"b""Or you could leave me there, 'cause\n"""
7,7,Love To Dream,Planet Her,2021,b'We just love to dream\n'
8,7,Love To Dream,Planet Her,2021,"b'I fell asleep when you woke up, oh\n'"
9,7,Love To Dream,Planet Her,2021,"b""It's not you, baby, it's just me\n"""
10,7,Love To Dream,Planet Her,2021,"b""I don't believe what I just lost\n"""
11,7,Love To Dream,Planet Her,2021,"b'I fell asleep when you woke up, oh\n'"
12,7,Love To Dream,Planet Her,2021,"b""It's not you, baby, it's just me\n"""
13,7,Love To Dream,Planet Her,2021,"b""I don't believe what I just lost\n"""
14,7,Love To Dream,Planet Her,2021,"b""I don't wanna close my eyes\n"""
15,7,Love To Dream,Planet Her,2021,b'Nobody wants to fall (Fall) after they did it all (All)\n'
16,7,Love To Dream,Planet Her,2021,"b'I wonder if I left my body there, would I\n'"
17,7,Love To Dream,Planet Her,2021,"b""Die right in my sleep (Sleep) but in reality ('Ty)\n"""
18,7,Love To Dream,Planet Her,2021,b'It could feel like anything is possible\n'
19,7,Love To Dream,Planet Her,2021,"b'When I hear you speak, it really drives it deep\n'"
20,7,Love To Dream,Planet Her,2021,b'Woke up in a sweat in the middle of the night\n'
21,7,Love To Dream,Planet Her,2021,"b""It's gettin' under my skin, baby\n"""
22,7,Love To Dream,Planet Her,2021,"b""I wouldn't wonder why\n"""
23,7,Love To Dream,Planet Her,2021,"b""I know what you mean, you don't fuck with randoms\n"""
24,7,Love To Dream,Planet Her,2021,"b'I got everything, everything but real love\n'"
25,7,Love To Dream,Planet Her,2021,"b'I got in my head, I bet you could get me back out\n'"
26,7,Love To Dream,Planet Her,2021,"b""Or you could leave me there, 'cause\n"""
27,7,Love To Dream,Planet Her,2021,"b'I got everything, everything but real love\n'"
28,7,Love To Dream,Planet Her,2021,"b'I got in my head, I bet you could get me back out\n'"
29,7,Love To Dream,Planet Her,2021,"b""Or you could leave me there, 'cause\n"""
30,7,Love To Dream,Planet Her,2021,"b'We just love to dreamI fell asleep when you woke up, oh\n'"
31,7,Love To Dream,Planet Her,2021,"b""It's not you, baby (Na-na-na-na-na)\n"""
32,7,Love To Dream,Planet Her,2021,"b""It's just me (Na-na-na-na-na)\n"""
33,7,Love To Dream,Planet Her,2021,"b""I don't believe (Na-na-na-na-na)\n"""
34,7,Love To Dream,Planet Her,2021,b'What I just lost (Na-na-na-na-na)\n'
35,7,Love To Dream,Planet Her,2021,"b'(I said, I said, I said) (Na-na-na-na-na)\n'"
36,7,Love To Dream,Planet Her,2021,"b'I fell asleep when you woke up, oh\n'"
37,7,Love To Dream,Planet Her,2021,"b""It's not you, baby (Na-na-na-na-na)\n"""
38,7,Love To Dream,Planet Her,2021,"b""It's just me (Na-na-na-na-na)\n"""
39,7,Love To Dream,Planet Her,2021,"b""I don't believe (Na-na-na-na-na)\n"""
40,7,Love To Dream,Planet Her,2021,b'What I just lost (Na-na-na-na-na)\n'
41,7,Love To Dream,Planet Her,2021,"b'(I said, I said, I said) (Na-na-na-na-na)\n'"
42,7,Love To Dream,Planet Her,2021,b'You might also like\n'
43,7,Love To Dream,Planet Her,2021,"b'And I said, ""Ooh, stop it"", ayy\n'"
44,7,Love To Dream,Planet Her,2021,"b""I look a little like 'Nashe, ayy\n"""
45,7,Love To Dream,Planet Her,2021,"b'You look a little exhausted, ayy (Yeah)\n'"
46,7,Love To Dream,Planet Her,2021,"b'We should say nah to the party, ayy (Huh)\n'"
47,7,Love To Dream,Planet Her,2021,"b'Take me home in the Bugatti, ayy (Yeah)\n'"
48,7,Love To Dream,Planet Her,2021,"b'Hope you like a little tea, I put it on his teeth\n'"
49,7,Love To Dream,Planet Her,2021,"b'He like my Yerba Mate, ayy\n'"
50,7,Love To Dream,Planet Her,2021,"b'He like my Yerba Mate, ayy\n'"
51,7,Love To Dream,Planet Her,2021,"b'Jump in bed without my bonnet, ah (My bonnet)\n'"
52,7,Love To Dream,Planet Her,2021,b'Take a minute for the finer things (Yeah)\n'
53,7,Love To Dream,Planet Her,2021,"b""I don't even wanna sleep\n"""
54,7,Love To Dream,Planet Her,2021,"b""You doin' some weed, blow it in my China bang\n"""
55,7,Love To Dream,Planet Her,2021,"b""I be havin' hella dreams\n"""
56,7,Love To Dream,Planet Her,2021,"b""Pickin' up his sheets feelin' like a tidal wave\n"""
57,7,Love To Dream,Planet Her,2021,b'Hit me if you want it right away\n'
58,7,Love To Dream,Planet Her,2021,"b""If he hit me with the mornin' sex\n"""
59,7,Love To Dream,Planet Her,2021,"b'Show up, hit him with apologies\n'"
60,7,Love To Dream,Planet Her,2021,"b""Kicks on him with a pile of J's\n"""
61,7,Love To Dream,Planet Her,2021,b'Bricks on him with a dick on him (Yo)\n'
62,7,Love To Dream,Planet Her,2021,b'Put a fit on him with the Prada shades (Prada shades)\n'
63,7,Love To Dream,Planet Her,2021,b'Tits on him and I ride away (Ride away)\n'
64,7,Love To Dream,Planet Her,2021,b'How much do you want it?\n'
65,7,Love To Dream,Planet Her,2021,b'Four times\n'
66,7,Love To Dream,Planet Her,2021,"b'King come through, your dreams come true\n'"
67,7,Love To Dream,Planet Her,2021,"b""And trust me, you won't ever fall asleep\n"""
68,7,Love To Dream,Planet Her,2021,"b""And trust me, you won't ever fall asleep\n"""
69,7,Love To Dream,Planet Her,2021,"b""I know what you mean, you don't fuck with randoms (And I hope you)\n"""
70,7,Love To Dream,Planet Her,2021,"b'I got everything, everything but real love (And I hope you)\n'"
71,7,Love To Dream,Planet Her,2021,"b'I got in my head, I bet you could get me back out (And I hope you)\n'"
72,7,Love To Dream,Planet Her,2021,"b""Or you could leave me there, 'cause (Or leave me there)\n"""
73,7,Love To Dream,Planet Her,2021,"b'I got everything, everything but real love (And I hope you)\n'"
74,7,Love To Dream,Planet Her,2021,"b'I got in my head, I bet you could get me back out (And I hope you)\n'"
75,7,Love To Dream,Planet Her,2021,"b""Or you could leave me there, 'cause (Or leave me there)\n"""
76,7,Love To Dream,Planet Her,2021,b'We just love to dream (And I hope you)\n'
77,7,Love To Dream,Planet Her,2021,"b'I fell asleep (And I hope you) when you woke up, oh (And I hope you)\n'"
78,7,Love To Dream,Planet Her,2021,"b'(Oh, baby, baby) \n'"
79,7,Love To Dream,Planet Her,2021,"b""It's not you, baby (Na-na-na-na-na)\n"""
80,7,Love To Dream,Planet Her,2021,"b""It's just me (Na-na-na-na-na)\n"""
81,7,Love To Dream,Planet Her,2021,"b""I don't believe (Na-na-na-na-na)\n"""
82,7,Love To Dream,Planet Her,2021,b'What I just lost (Na-na-na-na-na)\n'
83,7,Love To Dream,Planet Her,2021,"b'I fell asleep (And I hope you) when you woke up, oh (And I hope you)\n'"
84,7,Love To Dream,Planet Her,2021,"b""(Oh, baby, baby) It's not you, baby (Na-na-na-na-na)\n"""
85,7,Love To Dream,Planet Her,2021,"b""It's just me (Na-na-na-na-na)\n"""
86,7,Love To Dream,Planet Her,2021,"b""I don't believe (Na-na-na-na-na)\n"""
87,7,Love To Dream,Planet Her,2021,b'What I just lost (Na-na-na-na-na)\n'
88,7,Love To Dream,Planet Her,2021,b'(Na-na-na-na-na)\n'
89,7,Love To Dream,Planet Her,2021,b'Oh-oh\n'
