,Track Number,Track Title,Album Name,Year Released,Lyric
0,38,Morning Light,Amala,2018,"b""I don't wanna waste your time\n"""
1,38,Morning Light,Amala,2018,"b""Go 'head and live your life\n"""
2,38,Morning Light,Amala,2018,b'I could be yours tonight\n'
3,38,Morning Light,Amala,2018,"b""We will be up 'til the morning\n"""
4,38,Morning Light,Amala,2018,"b""Don't wanna waste your time\n"""
5,38,Morning Light,Amala,2018,"b""Go 'head and live your life\n"""
6,38,Morning Light,Amala,2018,b'I could be yours tonight\n'
7,38,Morning Light,Amala,2018,"b""We'll be up 'til the morning\n"""
8,38,Morning Light,Amala,2018,"b'Light, light, light, light, light, light, light\n'"
9,38,Morning Light,Amala,2018,"b""Up 'til the morning light, light, light, light, light, light, light\n"""
10,38,Morning Light,Amala,2018,b'Morning\n'
11,38,Morning Light,Amala,2018,"b'Breakfast in bed, come and your lay your head\n'"
12,38,Morning Light,Amala,2018,"b'Down on me, bae, touch on my neck\n'"
13,38,Morning Light,Amala,2018,"b'Bacon and eggs, give you a taste\n'"
14,38,Morning Light,Amala,2018,"b""We let 'em wait, love me all day, oh\n"""
15,38,Morning Light,Amala,2018,"b""Don't say goodbye, kiss me goodnight\n"""
16,38,Morning Light,Amala,2018,"b'Yes, I say that hard work pays off, do you really know why?\n'"
17,38,Morning Light,Amala,2018,"b""I'ma show you why\n"""
18,38,Morning Light,Amala,2018,"b""Don't wanna waste your time\n"""
19,38,Morning Light,Amala,2018,"b""Go 'head and live your life\n"""
20,38,Morning Light,Amala,2018,b'I could be yours tonight\n'
21,38,Morning Light,Amala,2018,"b""We'll be up 'til the morning\n"""
22,38,Morning Light,Amala,2018,"b'Light, light, light, light, light, light, light\n'"
23,38,Morning Light,Amala,2018,"b""Up 'til the morning light, light, light, light, light, light, light\n"""
24,38,Morning Light,Amala,2018,b'Morning\n'
25,38,Morning Light,Amala,2018,"b""No covers on us, baby boy, 'cause I'ma bring the heat, ooh\n"""
26,38,Morning Light,Amala,2018,"b""See I ain't no trick just because I know how to treat you\n"""
27,38,Morning Light,Amala,2018,"b'Bet them men are jealous, you know they been tryna be you\n'"
28,38,Morning Light,Amala,2018,"b""But look, there's only one who touchin', wondering if they can be you\n"""
29,38,Morning Light,Amala,2018,b'And we be rolling up all night\n'
30,38,Morning Light,Amala,2018,b'We be rolling up all night\n'
31,38,Morning Light,Amala,2018,b'We be rolling up all night\n'
32,38,Morning Light,Amala,2018,b'We be rolling up all night\n'
33,38,Morning Light,Amala,2018,b'You might also like\n'
34,38,Morning Light,Amala,2018,"b'Something, baby, your loving keep me up\n'"
35,38,Morning Light,Amala,2018,b'Got me up until God knows in the morning\n'
36,38,Morning Light,Amala,2018,b'Fun times watching the sunrise with you\n'
37,38,Morning Light,Amala,2018,"b'Be up until the morning light, yeah\n'"
38,38,Morning Light,Amala,2018,"b'Something, baby, your loving keep me up\n'"
39,38,Morning Light,Amala,2018,b'Got me up until God knows in the morning\n'
40,38,Morning Light,Amala,2018,b'Fun times watching the sunrise with you\n'
41,38,Morning Light,Amala,2018,"b'Be up until the morning light, yeah, nigga\n'"
42,38,Morning Light,Amala,2018,"b""Don't wanna waste your time\n"""
43,38,Morning Light,Amala,2018,"b""Go 'head and live your life\n"""
44,38,Morning Light,Amala,2018,b'I could be yours tonight\n'
45,38,Morning Light,Amala,2018,"b""We will be up 'til the morning\n"""
46,38,Morning Light,Amala,2018,"b""Don't wanna waste your time\n"""
47,38,Morning Light,Amala,2018,"b""Go 'head and live your life\n"""
48,38,Morning Light,Amala,2018,b'I could be yours tonight\n'
49,38,Morning Light,Amala,2018,"b""We'll be up 'til the morning\n"""
50,38,Morning Light,Amala,2018,"b'Light, light, light, light, light, light, light\n'"
51,38,Morning Light,Amala,2018,"b""Up 'til the morning light, light, light, light, light, light, light\n"""
52,38,Morning Light,Amala,2018,"b'Morning light, light, light, light, light, light, light\n'"
53,38,Morning Light,Amala,2018,"b'Morning light, light, light, light\n'"
