,Track Number,Track Title,Album Name,Year Released,Lyric
0,2,Naked,Planet Her,2021,"b""Baby, you're so anxious\n"""
1,2,Naked,Planet Her,2021,"b""You can't take it\n"""
2,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
3,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
4,2,Naked,Planet Her,2021,b'Can we take this off and get nake\xe2\x80\x94?\n'
5,2,Naked,Planet Her,2021,"b""Baby, you're so anxious\n"""
6,2,Naked,Planet Her,2021,"b""You can't take it\n"""
7,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
8,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
9,2,Naked,Planet Her,2021,b'Can we take this off and get naked? Ah\n'
10,2,Naked,Planet Her,2021,"b""I don't think 'bout anybody\n"""
11,2,Naked,Planet Her,2021,"b""But bein' beside your body, baby (La-la-la-la-la, la, la-la-la, la-la-la-la-la-la-la)\n"""
12,2,Naked,Planet Her,2021,b'You can leave open windows\n'
13,2,Naked,Planet Her,2021,"b""Don't care who see me out my clothes, baby\n"""
14,2,Naked,Planet Her,2021,"b'Yeah, I like bananas and peaches\n'"
15,2,Naked,Planet Her,2021,"b""And some might say it's indecent\n"""
16,2,Naked,Planet Her,2021,"b""That's just crazy (That's just crazy)\n"""
17,2,Naked,Planet Her,2021,b'Can I slide outta mine and into yours?\n'
18,2,Naked,Planet Her,2021,"b""Heels on, waitin' at your door\n"""
19,2,Naked,Planet Her,2021,"b""I don't wanna play no more\n"""
20,2,Naked,Planet Her,2021,b'Leave everything on the floor\n'
21,2,Naked,Planet Her,2021,"b""You don't need a pole to see me strip\n"""
22,2,Naked,Planet Her,2021,b'Only thing I want zipped is your lips\n'
23,2,Naked,Planet Her,2021,"b'Take it to the top, boy, skinny dip\n'"
24,2,Naked,Planet Her,2021,"b'(So hot, your body on mine, your body on)\n'"
25,2,Naked,Planet Her,2021,"b""I don't even wanna get a grip\n"""
26,2,Naked,Planet Her,2021,b'I just like it when you grab my hips\n'
27,2,Naked,Planet Her,2021,b'Can you feel it through your fingertips? (How do I?)\n'
28,2,Naked,Planet Her,2021,b'How do I keep this on?\n'
29,2,Naked,Planet Her,2021,b'How do I let you know?\n'
30,2,Naked,Planet Her,2021,"b'Boy, you deserve a show\n'"
31,2,Naked,Planet Her,2021,b'Deserve to get comfortable\n'
32,2,Naked,Planet Her,2021,"b""It's only natural\n"""
33,2,Naked,Planet Her,2021,b'I could tell when you locked the door\n'
34,2,Naked,Planet Her,2021,b'Just what was going on\n'
35,2,Naked,Planet Her,2021,"b'Boy, can we take off all our clothes?\n'"
36,2,Naked,Planet Her,2021,b'When can we take off all our clothes?\n'
37,2,Naked,Planet Her,2021,b'When can we take off all our clothes? (When? Oh whoa)\n'
38,2,Naked,Planet Her,2021,b'When can we take off all our clothes?\n'
39,2,Naked,Planet Her,2021,b'You might also like\n'
40,2,Naked,Planet Her,2021,"b""Baby, you're so anxious\n"""
41,2,Naked,Planet Her,2021,"b""You can't take it\n"""
42,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
43,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
44,2,Naked,Planet Her,2021,b'Can we take this off and get nake\xe2\x80\x94?\n'
45,2,Naked,Planet Her,2021,"b""Baby, you're so anxious\n"""
46,2,Naked,Planet Her,2021,"b""You can't take it\n"""
47,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
48,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
49,2,Naked,Planet Her,2021,b'Can we take this off and get naked? Ah\n'
50,2,Naked,Planet Her,2021,"b""Follow me to my dressin' room\n"""
51,2,Naked,Planet Her,2021,"b""Let me know if you ain't 'bout that NSFW\n"""
52,2,Naked,Planet Her,2021,"b""Now it's safe to finish what we started\n"""
53,2,Naked,Planet Her,2021,"b""Now it's safe to finish what we started\n"""
54,2,Naked,Planet Her,2021,b'First impression of you is you really like to party\n'
55,2,Naked,Planet Her,2021,"b""Swirlin' all up on you 'cause you know I wanna dance\n"""
56,2,Naked,Planet Her,2021,b'Let me cordially invite you to this party in my pants\n'
57,2,Naked,Planet Her,2021,"b""How you got me sprung and don't say sorry in advance?\n"""
58,2,Naked,Planet Her,2021,"b""Show me all your tatts, not just the ones that's on your hands\n"""
59,2,Naked,Planet Her,2021,"b""Who's your designer?Is that birthday suit one of a kind, uh?\n"""
