,Track Number,Track Title,Album Name,Year Released,Lyric
0,5,Need to Know,Planet Her,2021,b'Yeah\n'
1,5,Need to Know,Planet Her,2021,"b""Wanna know what it's like (Like)\n"""
2,5,Need to Know,Planet Her,2021,"b""Baby, show me what it's like (Like)\n"""
3,5,Need to Know,Planet Her,2021,"b""I don't really got no type (Type)\n"""
4,5,Need to Know,Planet Her,2021,b'I just wanna fuck all night\n'
5,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)\n'"
6,5,Need to Know,Planet Her,2021,"b'Baby, I need to know, mmm (Yeah, need to know)\n'"
7,5,Need to Know,Planet Her,2021,"b""I just been fantasizin' (Size)\n"""
8,5,Need to Know,Planet Her,2021,b'And we got a lotta time (Time)\n'
9,5,Need to Know,Planet Her,2021,"b'Baby, come throw the pipe (Pipe)\n'"
10,5,Need to Know,Planet Her,2021,"b""Gotta know what it's like (Like)\n"""
11,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, oh-woah-woah\n'"
12,5,Need to Know,Planet Her,2021,"b'Baby, I need to know, mmm\n'"
13,5,Need to Know,Planet Her,2021,"b""What's your size? (Size)\n"""
14,5,Need to Know,Planet Her,2021,"b""Add, subtract, divide ('Vide)\n"""
15,5,Need to Know,Planet Her,2021,"b""Add, subtract, divide ('Vide)\n"""
16,5,Need to Know,Planet Her,2021,"b""Daddy don't throw no curves (Curves)\n"""
17,5,Need to Know,Planet Her,2021,"b""Hold up, I'm goin' wide (Wide)\n"""
18,5,Need to Know,Planet Her,2021,b'We could just start at ten (Ten)\n'
19,5,Need to Know,Planet Her,2021,b'Then we can go to five (Five)\n'
20,5,Need to Know,Planet Her,2021,"b""Hold up, I'm goin' wide (Wide)\n"""
21,5,Need to Know,Planet Her,2021,b'We could just start at ten (Ten)\n'
22,5,Need to Know,Planet Her,2021,b'Then we can go to five (Five)\n'
23,5,Need to Know,Planet Her,2021,"b""I don't play with my pen (Pen)\n"""
24,5,Need to Know,Planet Her,2021,b'I mean what I writ\xd0\xb5\n'
25,5,Need to Know,Planet Her,2021,b'I mean what I writ\xd0\xb5\n'
26,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, woah-woah-woah\n'"
27,5,Need to Know,Planet Her,2021,"b""I just can't help but b\xd0\xb5 sexual (Oh)\n"""
28,5,Need to Know,Planet Her,2021,b'Tell me your schedule (Yeah)\n'
29,5,Need to Know,Planet Her,2021,"b'I got a lotta new tricks for you, baby\n'"
30,5,Need to Know,Planet Her,2021,"b""Just sayin' I'm flexible (I will)\n"""
31,5,Need to Know,Planet Her,2021,b'I do what I can to get you off (I will)\n'
32,5,Need to Know,Planet Her,2021,"b'I got a lotta new tricks for you, baby\n'"
33,5,Need to Know,Planet Her,2021,"b""Just sayin' I'm flexible (I will)\n"""
34,5,Need to Know,Planet Her,2021,b'I do what I can to get you off (I will)\n'
35,5,Need to Know,Planet Her,2021,b'Might just fuck him with my makeup on (I will)\n'
36,5,Need to Know,Planet Her,2021,"b'Eat it like I need an apron on (Yeah, oh)\n'"
37,5,Need to Know,Planet Her,2021,"b""Eat it 'til I need to change my thong (Yeah, ayy)\n"""
38,5,Need to Know,Planet Her,2021,"b'We could do it to your favorite song (Yeah, ayy)\n'"
39,5,Need to Know,Planet Her,2021,b'Take a ride into the danger zone\n'
40,5,Need to Know,Planet Her,2021,b'Take a ride into the danger zone\n'
41,5,Need to Know,Planet Her,2021,"b""You know my nigga be buggin' me\n"""
42,5,Need to Know,Planet Her,2021,"b""I just be wonderin' if you can fuck on me better\n"""
43,5,Need to Know,Planet Her,2021,"b""Itchin' for me like an ugly sweater\n"""
44,5,Need to Know,Planet Her,2021,b'Need it in me like a Chuck E. need cheddar\n'
45,5,Need to Know,Planet Her,2021,b'I need to know\n'
46,5,Need to Know,Planet Her,2021,b'You might also like\n'
47,5,Need to Know,Planet Her,2021,"b""Wanna know what it's like (Like)\n"""
48,5,Need to Know,Planet Her,2021,"b""Baby, show me what it's like (Like)\n"""
49,5,Need to Know,Planet Her,2021,"b""I don't really got no type (Type)\n"""
50,5,Need to Know,Planet Her,2021,b'I just wanna fuck all night\n'
51,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)\n'"
52,5,Need to Know,Planet Her,2021,"b'Baby, I need to know, mmm (Yeah, need to know)\n'"
53,5,Need to Know,Planet Her,2021,"b""I just been fantasizin' (Size)\n"""
54,5,Need to Know,Planet Her,2021,b'And we got a lotta time (Time)\n'
55,5,Need to Know,Planet Her,2021,"b'Baby, come throw the pipe (Pipe)\n'"
56,5,Need to Know,Planet Her,2021,"b""Gotta know what it's like (Like)\n"""
57,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, oh-woah-woah\n'"
58,5,Need to Know,Planet Her,2021,"b'Baby, I need to know, mmm\n'"
59,5,Need to Know,Planet Her,2021,"b""You're exciting, boy, come find me\n"""
60,5,Need to Know,Planet Her,2021,"b'Your eyes told me, ""Girl, come ride me""\n'"
61,5,Need to Know,Planet Her,2021,b'Fuck that feeling both us fighting\n'
62,5,Need to Know,Planet Her,2021,"b'Could he try me? (Yeah) Mmm, most likely\n'"
63,5,Need to Know,Planet Her,2021,b'Tryna see if you could handle this ass\n'
64,5,Need to Know,Planet Her,2021,b'Prolly give his ass a panic attack\n'
65,5,Need to Know,Planet Her,2021,b'Sorry if I gave a random erection\n'
66,5,Need to Know,Planet Her,2021,"b""Prolly thinkin' I'm a telekinetic\n"""
67,5,Need to Know,Planet Her,2021,"b'Oh, wait, you a fan of the magic?\n'"
68,5,Need to Know,Planet Her,2021,"b'Poof, pussy like an Alakazam\n'"
69,5,Need to Know,Planet Her,2021,"b'Oh, wait, you a fan of the magic?\n'"
70,5,Need to Know,Planet Her,2021,"b'Poof, pussy like an Alakazam\n'"
71,5,Need to Know,Planet Her,2021,b'I heard from a friend of a friend\n'
72,5,Need to Know,Planet Her,2021,b'That that dick was a ten out of ten\n'
73,5,Need to Know,Planet Her,2021,"b""I can't stand it, just one night me\n"""
74,5,Need to Know,Planet Her,2021,"b'Clink with the drink, gimme a sip\n'"
75,5,Need to Know,Planet Her,2021,"b""Tell me what's your kink, gimme the dick\n"""
76,5,Need to Know,Planet Her,2021,"b'Spank me, slap me, choke me, bite me (Ew)\n'"
77,5,Need to Know,Planet Her,2021,"b'Oh, wait, I can take it (Ah)\n'"
78,5,Need to Know,Planet Her,2021,"b""Give a fuck 'bout what your wifey's sayin' (Yeah)\n"""
79,5,Need to Know,Planet Her,2021,"b""Wanna know what it's like (Like)\n"""
80,5,Need to Know,Planet Her,2021,"b""Baby, show me what it's like (Like)\n"""
81,5,Need to Know,Planet Her,2021,"b""I don't really got no type (Type)\n"""
82,5,Need to Know,Planet Her,2021,b'I just wanna fuck all night\n'
83,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)\n'"
84,5,Need to Know,Planet Her,2021,"b'Baby, I need to know, mmm (Yeah, need to know)\n'"
85,5,Need to Know,Planet Her,2021,"b""I just been fantasizin' (Size)\n"""
86,5,Need to Know,Planet Her,2021,b'And we got a lotta time (Time)\n'
87,5,Need to Know,Planet Her,2021,"b'Baby, come throw the pipe (Pipe)\n'"
88,5,Need to Know,Planet Her,2021,"b""Gotta know what it's like (Like)\n"""
89,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, oh-woah-woah\n'"
90,5,Need to Know,Planet Her,2021,"b'Baby, I need to know, mmm\n'"
