,Track Number,Track Title,Album Name,Year Released,Lyric
0,10,Options (Ft. JID),Planet Her,2021,"b""I don't need lovin', late-night cuffin'\n"""
1,10,Options (Ft. JID),Planet Her,2021,"b'Take it all off, you naughty\n'"
2,10,Options (Ft. JID),Planet Her,2021,"b'Put it back on, unpause it\n'"
3,10,Options (Ft. JID),Planet Her,2021,"b'Kitchen island, bedroom, closet\n'"
4,10,Options (Ft. JID),Planet Her,2021,"b""Takin' that elsewhere, maybe\n"""
5,10,Options (Ft. JID),Planet Her,2021,b'We know we both got options\n'
6,10,Options (Ft. JID),Planet Her,2021,"b'I know you faded, boy\n'"
7,10,Options (Ft. JID),Planet Her,2021,"b""I feel it wearin' off\n"""
8,10,Options (Ft. JID),Planet Her,2021,"b""When I get Henn' and Coke\n"""
9,10,Options (Ft. JID),Planet Her,2021,"b'I like the way you talk, yeah\n'"
10,10,Options (Ft. JID),Planet Her,2021,"b""I couldn't give a fuck\n"""
11,10,Options (Ft. JID),Planet Her,2021,"b""Givin' him paranoia\n"""
12,10,Options (Ft. JID),Planet Her,2021,b'He just wanna smash on tour\n'
13,10,Options (Ft. JID),Planet Her,2021,"b""Fuckin' for that new velour\n"""
14,10,Options (Ft. JID),Planet Her,2021,"b""I like it when you're with me all night\n"""
15,10,Options (Ft. JID),Planet Her,2021,"b""I can't imagine what you might try\n"""
16,10,Options (Ft. JID),Planet Her,2021,"b'Yeah, you so full of surprises\n'"
17,10,Options (Ft. JID),Planet Her,2021,b'Guess you one of my vices\n'
18,10,Options (Ft. JID),Planet Her,2021,b'Guess you one of my vices\n'
19,10,Options (Ft. JID),Planet Her,2021,b'You want a picket fence and a wife\n'
20,10,Options (Ft. JID),Planet Her,2021,b'You never change your mind when I cry\n'
21,10,Options (Ft. JID),Planet Her,2021,"b'Yeah, I see your flaws and you know it\n'"
22,10,Options (Ft. JID),Planet Her,2021,"b""Droppin' your jaw when the drawers hit the floor\n"""
23,10,Options (Ft. JID),Planet Her,2021,"b""I don't need lovin', late-night cuffin'\n"""
24,10,Options (Ft. JID),Planet Her,2021,"b'Take it all off, you naughty\n'"
25,10,Options (Ft. JID),Planet Her,2021,"b'Put it back on, unpause it\n'"
26,10,Options (Ft. JID),Planet Her,2021,"b'Kitchen island, bedroom, closet\n'"
27,10,Options (Ft. JID),Planet Her,2021,"b""Takin' that elsewhere, maybe\n"""
28,10,Options (Ft. JID),Planet Her,2021,b'We know we both got options\n'
29,10,Options (Ft. JID),Planet Her,2021,b'You can count on me\n'
30,10,Options (Ft. JID),Planet Her,2021,b'To never count on you\n'
31,10,Options (Ft. JID),Planet Her,2021,b'To never count on you\n'
32,10,Options (Ft. JID),Planet Her,2021,"b""I'm only down for you\n"""
33,10,Options (Ft. JID),Planet Her,2021,"b'Way you put it down, baby, wow, I, I\n'"
34,10,Options (Ft. JID),Planet Her,2021,b'She wanna fuck a nigga like she love me\n'
35,10,Options (Ft. JID),Planet Her,2021,"b'She got a lover, but I might get lucky\n'"
36,10,Options (Ft. JID),Planet Her,2021,b'But you got me on a drain like a drunkie\n'
37,10,Options (Ft. JID),Planet Her,2021,"b""Lookin' at the junk in your trunk like a junkie\n"""
38,10,Options (Ft. JID),Planet Her,2021,"b""Lookin' at the junk in your trunk like a junkie\n"""
39,10,Options (Ft. JID),Planet Her,2021,"b""We don't speak, just fuck twice a week\n"""
40,10,Options (Ft. JID),Planet Her,2021,"b'And if she like freaks, we must try a threesome\n'"
41,10,Options (Ft. JID),Planet Her,2021,"b""Do it on the beach, in the sand, let me see somethin'\n"""
42,10,Options (Ft. JID),Planet Her,2021,"b""Seashells on the shore, I'm a beach bum\n"""
43,10,Options (Ft. JID),Planet Her,2021,"b""Finna eat somethin' when you come\n"""
44,10,Options (Ft. JID),Planet Her,2021,"b""Baby, don't you wanna let me know?\n"""
45,10,Options (Ft. JID),Planet Her,2021,"b""Layin' in my bed like a vegetable\n"""
46,10,Options (Ft. JID),Planet Her,2021,"b'Lied when you said, ""Never let me go""\n'"
47,10,Options (Ft. JID),Planet Her,2021,"b'Just like a pro, you professional\n'"
48,10,Options (Ft. JID),Planet Her,2021,"b'Just like a pro, you professional\n'"
49,10,Options (Ft. JID),Planet Her,2021,"b""Stand on your hand 'cause you flexible\n"""
50,10,Options (Ft. JID),Planet Her,2021,"b""Now she tryna fuck me in the restroom or the parkin' lot\n"""
51,10,Options (Ft. JID),Planet Her,2021,"b'At the restaurant, anywhere, everywhere, anytime, I\n'"
52,10,Options (Ft. JID),Planet Her,2021,b'You might also like\n'
53,10,Options (Ft. JID),Planet Her,2021,"b""I don't need lovin', late-night cuffin'\n"""
54,10,Options (Ft. JID),Planet Her,2021,"b'Take it all off, you naughty\n'"
55,10,Options (Ft. JID),Planet Her,2021,"b'Put it back on, unpause it\n'"
56,10,Options (Ft. JID),Planet Her,2021,"b'Kitchen island, bedroom, closet\n'"
57,10,Options (Ft. JID),Planet Her,2021,"b""Takin' that elsewhere, maybe\n"""
58,10,Options (Ft. JID),Planet Her,2021,b'We know we both got options\n'
59,10,Options (Ft. JID),Planet Her,2021,"b""I don't need lovin', late-night cuffin'\n"""
60,10,Options (Ft. JID),Planet Her,2021,"b'Take it all off, you naughty\n'"
61,10,Options (Ft. JID),Planet Her,2021,"b'Put it back on, unpause it\n'"
62,10,Options (Ft. JID),Planet Her,2021,"b'Kitchen island, bedroom, closet\n'"
63,10,Options (Ft. JID),Planet Her,2021,"b""Takin' that elsewhere, maybe\n"""
64,10,Options (Ft. JID),Planet Her,2021,b'We know we both got options\n'
