,Track Number,Track Title,Album Name,Year Released,Lyric
0,3,Payday (Ft. Young Thug),Planet Her,2021,b'All this money on me (Me)\n'
1,3,Payday (Ft. Young Thug),Planet Her,2021,"b""It don't mean no thing (Thing)\n"""
2,3,Payday (Ft. Young Thug),Planet Her,2021,"b'See it in your dreams\xe2\x80\x85while\xe2\x80\x85I spend it\xe2\x80\x85all on my team, and we\xe2\x80\x85go\n'"
3,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
4,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' \n"""
5,3,Payday (Ft. Young Thug),Planet Her,2021,"b""We was gettin' by\xe2\x81\x9f(By)\n"""
6,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Savin'\xe2\x81\x9fon\xe2\x81\x9fthe side (Side)\n"""
7,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I\xe2\x81\x9fjust can't believe\n"""
8,3,Payday (Ft. Young Thug),Planet Her,2021,"b'\xe2\x81\x9fI got what I wanted all my life, now we go\n'"
9,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
10,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' paid e'yday, yeah\n"""
11,3,Payday (Ft. Young Thug),Planet Her,2021,b'Said everything that I want (Yeah)\n'
12,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I don't need it, I got it already\n"""
13,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Tell me what you want, uh\n'"
14,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Point to it, I got you, baby, get it, uh\n'"
15,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I just keep drippin' like a fuckin' mermaid, yeah\n"""
16,3,Payday (Ft. Young Thug),Planet Her,2021,"b'And drop a band to keep the smile on that face, yeah\n'"
17,3,Payday (Ft. Young Thug),Planet Her,2021,"b""And I'm bilingual, talkin' money conversations\n"""
18,3,Payday (Ft. Young Thug),Planet Her,2021,"b'And, baby, we are not the same, make no mistakes, yeah (Make no mistakes)\n'"
19,3,Payday (Ft. Young Thug),Planet Her,2021,b'You gotta face it (You gotta face)\n'
20,3,Payday (Ft. Young Thug),Planet Her,2021,"b""'Cause it just keep addin' up and they run it up\n"""
21,3,Payday (Ft. Young Thug),Planet Her,2021,"b'And then add it up, and they run it, run it\n'"
22,3,Payday (Ft. Young Thug),Planet Her,2021,b'All this money on me (Me)\n'
23,3,Payday (Ft. Young Thug),Planet Her,2021,"b""It don't mean no thing (Thing)\n"""
24,3,Payday (Ft. Young Thug),Planet Her,2021,"b'See it in your dreams while I spend it all on my team, and we go\n'"
25,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
