,Track Number,Track Title,Album Name,Year Released,Lyric
0,34,Roll With Us,Amala,2018,"b'Baby, you can roll, roll with us\n'"
1,34,Roll With Us,Amala,2018,"b'And I know that you know, you know bitches\n'"
2,34,Roll With Us,Amala,2018,b'You should bring them hoes and bros with us\n'
3,34,Roll With Us,Amala,2018,"b'And baby, you can roll, maybe you can roll, roll with us, yeah\n'"
4,34,Roll With Us,Amala,2018,"b'We can roll, baby, yeah, we can ride\n'"
5,34,Roll With Us,Amala,2018,"b'I do this all the time, you living that trap life, yeah, yeah, yeah\n'"
6,34,Roll With Us,Amala,2018,"b'You could come and party with my bitches, yeah\n'"
7,34,Roll With Us,Amala,2018,"b'Nobody at your neck, not monogamous\n'"
8,34,Roll With Us,Amala,2018,"b""This ain't gon' be over 'til you done with it\n"""
9,34,Roll With Us,Amala,2018,"b""Never thought that you'd ever get used to this\n"""
10,34,Roll With Us,Amala,2018,"b""Doin' stupid shit but you won't do it\n"""
11,34,Roll With Us,Amala,2018,b'Doja Cat\n'
12,34,Roll With Us,Amala,2018,"b'Baby, you can roll, roll with us\n'"
13,34,Roll With Us,Amala,2018,"b'And I know that you know, you know bitches\n'"
14,34,Roll With Us,Amala,2018,b'You should bring them hoes and bros with us\n'
15,34,Roll With Us,Amala,2018,"b'And baby, you can roll, and you know you can roll, roll with us, yeah\n'"
16,34,Roll With Us,Amala,2018,"b'Roll, roll with us\n'"
17,34,Roll With Us,Amala,2018,"b'And baby, you can roll, roll with us (Roll with us)\n'"
18,34,Roll With Us,Amala,2018,"b'Yeah, roll, roll with us\n'"
19,34,Roll With Us,Amala,2018,"b'And baby, you can roll, maybe you can roll, roll with us, yeah\n'"
20,34,Roll With Us,Amala,2018,"b'Leave all that drama out the door, that shit can wait\n'"
21,34,Roll With Us,Amala,2018,"b""And boy you know you ain't just fly, 'cause I'm in LA\n"""
22,34,Roll With Us,Amala,2018,b'I know you know I know you and you know me\n'
23,34,Roll With Us,Amala,2018,"b""And we won't bring nobody that can infiltrate\n"""
24,34,Roll With Us,Amala,2018,"b""Oh, baby, it's okay, BYOB\n"""
25,34,Roll With Us,Amala,2018,"b""Got a big ass Jeep, bringin' all them freaks, yeah\n"""
26,34,Roll With Us,Amala,2018,"b""Come and smoke my tree, I'ma fill my drink\n"""
27,34,Roll With Us,Amala,2018,"b'We done had a long ass week, ah, yeah, yeah\n'"
28,34,Roll With Us,Amala,2018,"b'Baby, you can roll, roll with us\n'"
29,34,Roll With Us,Amala,2018,"b'And I know that you know, you know bitches\n'"
30,34,Roll With Us,Amala,2018,b'You should bring them hoes and bros with us\n'
31,34,Roll With Us,Amala,2018,"b'And baby, you can roll, and you know you can roll, roll with us, yeah\n'"
32,34,Roll With Us,Amala,2018,b'You might also like\n'
33,34,Roll With Us,Amala,2018,"b'Roll, roll with us\n'"
34,34,Roll With Us,Amala,2018,"b'And baby, you can roll, roll with us (Roll with us)\n'"
35,34,Roll With Us,Amala,2018,"b'Yeah, roll, roll with us\n'"
36,34,Roll With Us,Amala,2018,"b'And baby, you can roll, maybe you can roll, roll with us, yeah\n'"
37,34,Roll With Us,Amala,2018,"b'Maybe you can roll, roll with us, yeah\n'"
38,34,Roll With Us,Amala,2018,"b'Maybe you can roll, roll with us, yeah\n'"
