,Track Number,Track Title,Album Name,Year Released,Lyric
0,22,Rules,Hot Pink,2019,"b""Said play with my pussy, but don't play with my emotions (Emotions)\n"""
1,22,Rules,Hot Pink,2019,"b'If you spend some\xe2\x80\x85money,\xe2\x80\x85then maybe I\xe2\x80\x85just might fuck ya (Fuck ya)\n'"
2,22,Rules,Hot Pink,2019,"b""When\xe2\x80\x85I shake that ass, I'ma do that shit in slow motion (Motion)\n"""
3,22,Rules,Hot Pink,2019,"b'You got a whole lotta cash, and nigga, you know I want it (Want it)\n'"
4,22,Rules,Hot Pink,2019,"b""Play with my pussy, but don't play with my emotions (Emotions, yeah)\n"""
5,22,Rules,Hot Pink,2019,"b'If you spend some money, then maybe I just might fuck ya (Fuck ya, yeah, yeah)\n'"
6,22,Rules,Hot Pink,2019,"b""When I shake that ass, I'ma do that shit in slow motion (Motion, slow motion, yeah)\n"""
7,22,Rules,Hot Pink,2019,"b'You got a whole lotta cash, and nigga, you know I want it (Want it, you know I want it)\n'"
8,22,Rules,Hot Pink,2019,"b'Break some bread up, nigga, that butter my biscuit (Ha)\n'"
9,22,Rules,Hot Pink,2019,"b""You ain't talk money, then really, that's none of my business (That's none of my biz)\n"""
10,22,Rules,Hot Pink,2019,"b""I don't even need these lenses (Yeah)\n"""
11,22,Rules,Hot Pink,2019,b'20 on 20 my vision (Woo)\n'
12,22,Rules,Hot Pink,2019,b'20 on 20 my vision (Woo)\n'
13,22,Rules,Hot Pink,2019,b'Bad yellow bitch with her eye on the prize\n'
14,22,Rules,Hot Pink,2019,"b""But nigga, I ain't no minion (Yeah, yeah)\n"""
15,22,Rules,Hot Pink,2019,"b""But nigga, I ain't no minion (Yeah, yeah)\n"""
16,22,Rules,Hot Pink,2019,"b'Millions, thousands, billions (Trillions)\n'"
17,22,Rules,Hot Pink,2019,"b'Bobs on me like Dylan, blondes on me like Hilton\n'"
18,22,Rules,Hot Pink,2019,"b'Wendys on me like Williams, shouting, digging\n'"
19,22,Rules,Hot Pink,2019,"b""Look at me like I'm alien, bitch, I'm fucking reptilian\n"""
20,22,Rules,Hot Pink,2019,"b""Bitch, bitch, awAll y'all bitches was wrong\n"""
21,22,Rules,Hot Pink,2019,"b""Talkin' 'bout I fell off\n"""
22,22,Rules,Hot Pink,2019,"b""All y'all bitches was wrong\n"""
23,22,Rules,Hot Pink,2019,"b""Talkin' 'bout I fell off\n"""
24,22,Rules,Hot Pink,2019,"b""You ain't even get on\n"""
25,22,Rules,Hot Pink,2019,"b'Bitch, bitch, yaw\n'"
26,22,Rules,Hot Pink,2019,"b""All y'all bitches is precious\n"""
27,22,Rules,Hot Pink,2019,"b'Wait, I meant to say jealous\n'"
28,22,Rules,Hot Pink,2019,"b""All y'all bitches is jealous\n"""
29,22,Rules,Hot Pink,2019,"b'Bitch, bitch\n'"
30,22,Rules,Hot Pink,2019,"b""Said play with my pussy, but don't play with my emotions (Emotions)\n"""
31,22,Rules,Hot Pink,2019,b'If you spend some money then maybe I just might fuck ya (Fuck ya)\n'
32,22,Rules,Hot Pink,2019,"b""When I shake that ass, I'ma do that shit in slow motion (Motion)\n"""
33,22,Rules,Hot Pink,2019,"b'You got a whole lotta cash, and nigga, you know I want it (Want it)\n'"
34,22,Rules,Hot Pink,2019,"b""Play with my pussy, but don't play with my emotions (Emotions, yeah)\n"""
35,22,Rules,Hot Pink,2019,"b'If you spend some money, then maybe I just might fuck ya (Fuck ya, yeah, yeah)\n'"
36,22,Rules,Hot Pink,2019,"b""When I shake that ass, I'ma do that shit in slow motion (Motion, slow motion, yeah)\n"""
