,Track Number,Track Title,Album Name,Year Released,Lyric
0,24,Say So,Hot Pink,2019,"b'Day to night to morning, keep with me in the moment\n'"
1,24,Say So,Hot Pink,2019,"b""I'd let you had I\xe2\x80\x85known\xe2\x80\x85it, why don't\xe2\x80\x85you say so?\n"""
2,24,Say So,Hot Pink,2019,"b""Didn't even notice, no\xe2\x80\x85punches left to roll with\n"""
3,24,Say So,Hot Pink,2019,b'You got to keep me focused; you want it? Say so\n'
4,24,Say So,Hot Pink,2019,"b'Day to night to morning, keep with me in the moment\n'"
5,24,Say So,Hot Pink,2019,"b""I'd let you had I known it, why don't you say so?\n"""
6,24,Say So,Hot Pink,2019,"b""Didn't even notice, no punches left to roll with\n"""
7,24,Say So,Hot Pink,2019,b'You got to keep me focused; you want it? Say so\n'
8,24,Say So,Hot Pink,2019,"b""It's been a long time since you fell in love\n"""
9,24,Say So,Hot Pink,2019,"b""You ain't coming out your shell, you ain't really been yourself\n"""
10,24,Say So,Hot Pink,2019,"b'Tell me, what must I do? (Do tell, my love)\n'"
11,24,Say So,Hot Pink,2019,"b""'Cause luckily, I'm good at reading\n"""
12,24,Say So,Hot Pink,2019,"b""I wouldn't bug him, but he won't stop cheesin'\n"""
13,24,Say So,Hot Pink,2019,"b""And we can dance all day around itIf you frontin', I'll be bouncing\n"""
14,24,Say So,Hot Pink,2019,"b""If you frontin', I'll be bouncing\n"""
15,24,Say So,Hot Pink,2019,"b'If you want it, scream it, shout it, babe\n'"
16,24,Say So,Hot Pink,2019,b'Before I leave you dry\n'
17,24,Say So,Hot Pink,2019,"b'Day to night to morning, keep with me in the moment\n'"
18,24,Say So,Hot Pink,2019,"b""I'd let you had I known it, why don't you say so?\n"""
19,24,Say So,Hot Pink,2019,"b""Didn't even notice, no punches left to roll with\n"""
20,24,Say So,Hot Pink,2019,b'You got to keep me focused; you want it? Say so\n'
21,24,Say So,Hot Pink,2019,"b'Day to night to morning, keep with me in the moment\n'"
22,24,Say So,Hot Pink,2019,"b""I'd let you had I known it, why don't you say so?\n"""
23,24,Say So,Hot Pink,2019,"b""Didn't even notice, no punches left to roll with\n"""
24,24,Say So,Hot Pink,2019,b'You got to keep me focused; you want it? Say so (Yeah)\n'
25,24,Say So,Hot Pink,2019,"b'Let me check my chest, my breath right quick (Ha)\n'"
26,24,Say So,Hot Pink,2019,"b""He ain't ever seen it in a dress like this (Ah)\n"""
27,24,Say So,Hot Pink,2019,"b""He ain't ever even been impressed like this\n"""
28,24,Say So,Hot Pink,2019,b'Prolly why I got him quiet on the set like zip\n'
29,24,Say So,Hot Pink,2019,"b'Like it, love it, need it bad\n'"
30,24,Say So,Hot Pink,2019,"b'Take it, own it, steal it fast\n'"
31,24,Say So,Hot Pink,2019,"b'Boy, stop playing, grab my ass\n'"
32,24,Say So,Hot Pink,2019,"b""Why you actin' like you shy? (Hot)\n"""
33,24,Say So,Hot Pink,2019,"b""Shut it, save it, keep it pushin'\n"""
34,24,Say So,Hot Pink,2019,"b""Why you beating 'round the bush?\n"""
35,24,Say So,Hot Pink,2019,"b""Knowin' you want all this woman\n"""
36,24,Say So,Hot Pink,2019,"b""Never knock it 'til you try (Yah, yah)\n"""
37,24,Say So,Hot Pink,2019,b'All of them bitches hating I have you with me\n'
38,24,Say So,Hot Pink,2019,"b""All of my niggas sayin' you mad committed\n"""
39,24,Say So,Hot Pink,2019,"b'Realer than anybody you had, and pretty\n'"
40,24,Say So,Hot Pink,2019,"b'All of the body-ody, the ass and titties\n'"
41,24,Say So,Hot Pink,2019,b'You might also like\n'
42,24,Say So,Hot Pink,2019,"b'Day to night to morning, keep with me in the moment\n'"
43,24,Say So,Hot Pink,2019,"b""I'd let you had I known it, why don't you say so?\n"""
44,24,Say So,Hot Pink,2019,"b""Didn't even notice, no punches left to roll with\n"""
45,24,Say So,Hot Pink,2019,b'You got to keep me focused; you want it? Say so\n'
46,24,Say So,Hot Pink,2019,"b'Day to night to morning, keep with me in the moment\n'"
47,24,Say So,Hot Pink,2019,"b""I'd let you had I known it, why don't you say so?\n"""
48,24,Say So,Hot Pink,2019,"b""Didn't even notice, no punches left to roll with\n"""
49,24,Say So,Hot Pink,2019,b'You got to keep me focused; you want it? \n'
