,Track Number,Track Title,Album Name,Year Released,Lyric
0,47,So High,Purrr! - EP,2014,"b'Blow, weed, coke, pop X\n'"
1,47,So High,Purrr! - EP,2014,"b""Speedin' up the heartbeat bangin' in the chest\n"""
2,47,So High,Purrr! - EP,2014,b'When you put it on me you relieve my stress\n'
3,47,So High,Purrr! - EP,2014,"b""You got me so high, takin' deep, deep breaths\n"""
4,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high\n'"
5,47,So High,Purrr! - EP,2014,"b""I know you ain't a drug, but you get me so high\n"""
6,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high\n'"
7,47,So High,Purrr! - EP,2014,"b""I know you ain't a drug, but you get me so high\n"""
8,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high\n'"
9,47,So High,Purrr! - EP,2014,"b""I know you ain't a drug, but you get me so high\n"""
10,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high\n'"
11,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high, high\n'"
12,47,So High,Purrr! - EP,2014,"b'You got me so turnt up, this dude got a bitch so highWeed always on my mind, now he always on my mind\n'"
13,47,So High,Purrr! - EP,2014,"b'Weed always on my mind, now he always on my mind\n'"
14,47,So High,Purrr! - EP,2014,"b'Doja, know you want some of this purr (*meowing*)\n'"
15,47,So High,Purrr! - EP,2014,"b""You ain't gotta say a word, just spark that, let's get burnt\n"""
16,47,So High,Purrr! - EP,2014,"b""Ah, then we'll roll up a hundred fuckin' blunts\n"""
17,47,So High,Purrr! - EP,2014,"b""All up in my mouth, now I'm all up in yo' \n"""
18,47,So High,Purrr! - EP,2014,b'This nigga got pounds of it all up in his trunk\n'
19,47,So High,Purrr! - EP,2014,b'Now we both look Asian\n'
20,47,So High,Purrr! - EP,2014,"b""I got dank shit in my cup, you know what I'ma do to you\n"""
21,47,So High,Purrr! - EP,2014,"b'I could get real used to you, blow, weed, X\n'"
22,47,So High,Purrr! - EP,2014,"b""And we sippin' on that juicy-juice, that's just what she choose to do\n"""
23,47,So High,Purrr! - EP,2014,"b'Oh, man, this shit these drugs will do to you\n'"
24,47,So High,Purrr! - EP,2014,"b'Blow, weed, coke, pop X\n'"
25,47,So High,Purrr! - EP,2014,"b""Speedin' up the heartbeat bangin' in the chest\n"""
26,47,So High,Purrr! - EP,2014,b'When you put it on me you relieve my stress\n'
27,47,So High,Purrr! - EP,2014,"b""You got me so high, takin' deep, deep breaths\n"""
28,47,So High,Purrr! - EP,2014,b'You might also like\n'
29,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high\n'"
30,47,So High,Purrr! - EP,2014,"b""I know you ain't a drug, but you get me so high\n"""
31,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high\n'"
32,47,So High,Purrr! - EP,2014,"b""I know you ain't a drug, but you get me so high\n"""
33,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high\n'"
34,47,So High,Purrr! - EP,2014,"b""I know you ain't a drug, but you get me so high\n"""
35,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high\n'"
36,47,So High,Purrr! - EP,2014,"b'You get me so high, you get me so high, high\n'"
37,47,So High,Purrr! - EP,2014,"b'Six hits to the dome, gone off control\n'"
38,47,So High,Purrr! - EP,2014,"b'Six hits to the dome, gone off control\n'"
39,47,So High,Purrr! - EP,2014,"b'Six hits to the dome, gone off control\n'"
40,47,So High,Purrr! - EP,2014,"b'Gone off control, gone off control\n'"
