,Track Number,Track Title,Album Name,Year Released,Lyric
0,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
1,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
2,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'I found it hard to find someone like you\n'
3,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
4,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
5,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""I can't sleep no more\n"""
6,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'In my head, we belong\n'"
7,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""And I can't be without you\n"""
8,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""Why can't I find no one like you?\n"""
9,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""I can't sleep no more\n"""
10,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'In my head, we belong\n'"
11,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""And I can't be without you\n"""
12,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""Why can't I find no one like you?\n"""
13,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Baby, we tried to fight it\n'"
14,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'We all been there some days\n'
15,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'Thought I needed something else\n'
16,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'And acted like I was okay\n'
17,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'We just had to work it out\n'
18,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'And baby, I needed space\n'"
19,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""Ain't nobody 'round here on your lev\xd0\xb5l\n"""
20,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""You're so far away\n"""
21,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""You're pouring your heart out\n"""
22,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""I'm acting lik\xd0\xb5 I knew\n"""
23,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'You held me so down\n'
24,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'So down I never grew, oh\n'"
25,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'I tried to find out\n'
26,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'When none of them came through\n'
27,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""And now I'm stuck in the middle\n"""
28,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'And baby had to pull me out, oh\n'"
29,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
30,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
31,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
32,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
33,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
34,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""Rare breed, 'paring, scary\n"""
35,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Found him, ho know, sharing\n'"
36,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Parents, Paris, wedding\n'"
37,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Marry, merry, ready\n'"
38,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'You might also like\n'
39,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
40,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
41,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'I found it hard to find someone like you\n'
42,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
43,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
44,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
45,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
46,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
47,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life (Keep my cool)\n'"
48,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
49,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
50,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b'Work it all day, something was real life\n'"
51,19,Streets (Ape Drums Remix),Streets (Remixes),2021,b'Work it all day (Real life made for each other)\n'
52,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""Why can't I find no one like you?\n"""
53,19,Streets (Ape Drums Remix),Streets (Remixes),2021,"b""Why can't I find no one like you?\n"""
