,Track Number,Track Title,Album Name,Year Released,Lyric
0,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Baby, we tried to fight it\n'"
1,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'We all been there some days\n'
2,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'Thought I needed something else\n'
3,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'And\xe2\x80\x85acted\xe2\x80\x85like I was\xe2\x80\x85okay\n'
4,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'We just had to work it\xe2\x80\x85out\n'
5,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'And baby, I needed space\n'"
6,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""Ain't nobody 'round here on your level\n"""
7,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""You're so far away\n"""
8,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""You're pouring your heart out\n"""
9,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""I'm acting like I knew\n"""
10,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'You held me so down\n'
11,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'So down I never grew, oh\n'"
12,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'I tried to find out\n'
13,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'When none of them came through\n'
14,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""And now I'm stuck in the middle\n"""
15,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'And baby had to pull me out, oh\n'"
16,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
17,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
18,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'I found it hard to find someone lik\xd0\xb5 you\n'
19,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
20,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Like you, lik\xd0\xb5 you\n'"
21,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
22,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'I found it hard to find someone like you\n'
23,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
24,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
25,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
26,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
27,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
28,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Send your location, come through (Mmm, mmm, mmm)\n'"
29,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Send your location, come through (Mmm, mmm, mmm)\n'"
30,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Send your location, come through (Mmm, mmm, mmm, mmm) (Mmm, mmm, mmm, mmm)\n'"
31,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'Yeah, damn papa, you a rare breed, no comparing\n'"
32,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""And it's motherfuckin' scary\n"""
33,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""Tryna keep him 'cause I found him\n"""
34,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""Let a hoe know I ain't motherfuckin' sharing\n"""
35,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'I could take you to the parents, then to Paris\n'"
36,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""Plan a motherfuckin' wedding\n"""
37,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'You the type I wanna marry (Yeah) and keep you merry\n'
38,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b""I'll put the ring on when you ready\n"""
39,15,Streets (Disclosure Remix),Streets (Remixes),2021,b'We play our fantasies out in real life ways and\n'
40,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'No Final Fantasy, can we end these games though?\n'"
41,15,Streets (Disclosure Remix),Streets (Remixes),2021,"b'You give me energy, make me feel lightweight\n'"
