,Track Number,Track Title,Album Name,Year Released,Lyric
0,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""I've been goin\xe2\x80\x99 through some things (Oh)\n"""
1,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'I struggle with my inner man (Yeah, yeah)\n'"
2,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""I hustle, I'll do what I can to get this money\n"""
3,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
4,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
5,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
6,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""I can't sleep no more\n"""
7,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'In my head, we belong\n'"
8,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'And I can\xe2\x80\x99t be without you\n'
9,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""Why can't I find no one like you?\n"""
10,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Baby, we tried to fight it (Tried to fight it)\n'"
11,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'We all been there some days (Some days)\n'
12,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'Thought I needed something else (Something else)\n'
13,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'And acted like I was okay (I was okay)\n'
14,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'We just had to work it out (Just had to work it out)\n'
15,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'And baby, I needed space (Needed space)\n'"
16,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""Ain't nobody 'round here on your level ('Round here)\n"""
17,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""You're so far away (So far away)\n"""
18,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
19,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
20,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Send your location, come through (Damn papa)\n'"
21,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Damn papa, you a rare breed, no comparing\n'"
22,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""And it's motherfuckin' scary\n"""
23,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'Tryna keep him \xe2\x80\x99cause I found him\n'
24,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""Let a ho know I ain\xe2\x80\x99t motherfuckin' sharing (Damn papa)\n"""
25,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'I could take you to the parents, then to Paris (Damn papa)\n'"
26,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'Plan a motherfuckin\xe2\x80\x99 wedding (Damn papa)\n'
27,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'You the type I wanna marry (Yeah) and keep you merry\n'
28,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""I'll put the ring, put the ring on when you ready\n"""
29,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'We play our fantasies out in real life ways and\n'
30,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'No Final Fantasy, can we end these games though?\n'"
31,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'You give me energy, make me feel lightweight (Woo)\n'"
32,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Like the birds of a feather, baby (Woo)\n'"
33,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'We real life made for each other (Woo)\n'
34,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""And it's hard to keep my cool\n"""
35,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'When other bitches tryna get with my dude and\n'
36,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'When other chickens tryna get in my coop\n'
37,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""'Cause you\xe2\x80\x99re a one in a million\n"""
38,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b""There ain't no man\xe2\x80\x93\n"""
39,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,b'You might also like\n'
40,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Like you (You ready, re-ready), like you (You ready, re-ready)\n'"
41,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Like you, ooh (You ready, re-ready)\n'"
42,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'I found it hard to find someone like you (You ready, re-ready)\n'"
43,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Like you, like you (You ready, re-ready)\n'"
44,16,Streets (DJ Sliink Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
