,Track Number,Track Title,Album Name,Year Released,Lyric
0,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
1,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
2,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,b'I found it hard to find someone like you\n'
3,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
4,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
5,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""I can't sleep no more\n"""
6,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'In my head, we belong\n'"
7,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""And I can't be without you\n"""
8,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""Why can't I find no one like you?\n"""
9,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""I can't sleep no more\n"""
10,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'In my head, we belong\n'"
11,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""And I can't be without you\n"""
12,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""Why can't I find no one like you?\n"""
13,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'Baby, we tried to fight it\n'"
14,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,b'We all been there some days\n'
15,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,b'Thought I needed something else\n'
16,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,b'And acted like I was okay\n'
17,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,b'We just had to work it out\n'
18,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'And baby, I needed space\n'"
19,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""Ain't nobody 'round here on your level\n"""
20,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""You're so far away\n"""
21,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""You're pouring your heart out\n"""
22,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""I'm acting like I knew\n"""
23,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,b'You held me so down\n'
24,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'So down I never grew, oh\n'"
25,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,b'I tried to find out\n'
26,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,b'When none of them came through\n'
27,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b""And now I'm stuck in the middle\n"""
28,17,Streets (Lazerbeak Remix),Streets (Remixes),2021,"b'And baby had to pull me out, oh\n'"
