,Track Number,Track Title,Album Name,Year Released,Lyric
0,28,Streets,Hot Pink,2019,"b""I've been goin' through some things (Oh)\n"""
1,28,Streets,Hot Pink,2019,"b'I struggle with my inner man (Yeah, yeah)\n'"
2,28,Streets,Hot Pink,2019,"b""I hustle,\xe2\x80\x85I'll\xe2\x80\x85do what I\xe2\x80\x85can to get this money\n"""
3,28,Streets,Hot Pink,2019,"b'I struggle with my inner man (Yeah, yeah)\n'"
4,28,Streets,Hot Pink,2019,"b""I hustle,\xe2\x80\x85I'll\xe2\x80\x85do what I\xe2\x80\x85can to get this money\n"""
5,28,Streets,Hot Pink,2019,"b'Blaq TuxedoDon\xe2\x80\x85Dada on the, Don Dada on the beat\n'"
6,28,Streets,Hot Pink,2019,"b'Don\xe2\x80\x85Dada on the, Don Dada on the beat\n'"
7,28,Streets,Hot Pink,2019,"b'Like you, like you\n'"
8,28,Streets,Hot Pink,2019,"b'Like you, ooh\n'"
9,28,Streets,Hot Pink,2019,b'I found it hard to find someone like you\n'
10,28,Streets,Hot Pink,2019,"b'Like you, like you\n'"
11,28,Streets,Hot Pink,2019,"b'Send your location, come through\n'"
12,28,Streets,Hot Pink,2019,"b""I can't sleep no more\n"""
13,28,Streets,Hot Pink,2019,"b'In my head, we belong\n'"
14,28,Streets,Hot Pink,2019,"b""And I can't be without you\n"""
15,28,Streets,Hot Pink,2019,"b""Why can't I find no one like you?\n"""
16,28,Streets,Hot Pink,2019,"b""I can't sleep no more\n"""
17,28,Streets,Hot Pink,2019,"b'In my head, we belong\n'"
18,28,Streets,Hot Pink,2019,"b""And I can't be without you\n"""
19,28,Streets,Hot Pink,2019,"b""Why can't I find no one like you?\n"""
20,28,Streets,Hot Pink,2019,"b'Baby, we tried to fight it\n'"
21,28,Streets,Hot Pink,2019,b'We all been there some days\n'
22,28,Streets,Hot Pink,2019,b'Thought I needed something else\n'
23,28,Streets,Hot Pink,2019,b'And acted like I was okay\n'
24,28,Streets,Hot Pink,2019,b'We just had to work it out\n'
25,28,Streets,Hot Pink,2019,"b'And baby, I needed space\n'"
26,28,Streets,Hot Pink,2019,"b""Ain't nobody 'round here on your level\n"""
27,28,Streets,Hot Pink,2019,"b""You're so far away\n"""
28,28,Streets,Hot Pink,2019,"b""You're pouring your heart out\n"""
29,28,Streets,Hot Pink,2019,"b""I'm acting like I knew\n"""
30,28,Streets,Hot Pink,2019,b'You held me so down\n'
31,28,Streets,Hot Pink,2019,"b'So down I never grew, oh\n'"
32,28,Streets,Hot Pink,2019,b'I tried to find out\n'
33,28,Streets,Hot Pink,2019,b'When none of them came through\n'
