,Track Number,Track Title,Album Name,Year Released,Lyric
0,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""Yeah, I hustle, I'll do what I can to get this money\n"""
1,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
2,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
3,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'I found it hard to find someone like you\n'
4,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
5,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
6,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
7,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Like you, ooh\n'"
8,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'I found it hard to find someone like you\n'
9,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Like you, like you\n'"
10,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
11,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
12,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
13,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Baby, we tried to fight it\n'"
14,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'We all been there some days\n'
15,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'Thought I needed something else\n'
16,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'And acted like I was okay\n'
17,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'We just had to work it out\n'
18,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'And baby, I needed spac\xd0\xb5\n'"
19,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""Ain't nobody 'round here on your lev\xd0\xb5l\n"""
20,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""You're so far away\n"""
21,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""You're pouring your heart out\n"""
22,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""I'm acting like I knew\n"""
23,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'You held me so down\n'
24,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'So down I never grew, oh\n'"
25,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'I tried to find out\n'
26,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'When none of them came through\n'
27,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""And now I'm stuck in the middle\n"""
28,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'And baby had to pull me out, oh\n'"
29,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Send your location, come through\n'"
30,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Send your location, come through (Yeah)\n'"
31,18,Streets (Party Favor Remix),Streets (Remixes),2021,b'You might also like\n'
32,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'Damn papa, you a rare breed, no comparing\n'"
33,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""And it's motherfuckin' scary\n"""
34,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""Tryna keep him 'cause I found him\n"""
35,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b""Let a ho know I ain't motherfuckin' sharing\n"""
36,18,Streets (Party Favor Remix),Streets (Remixes),2021,"b'I could take you to the parents, then to Paris\n'"
