,Track Number,Track Title,Album Name,Year Released,Lyric
0,26,Talk Dirty,Hot Pink,2019,"b'Talk, talking to ya\n'"
1,26,Talk Dirty,Hot Pink,2019,"b""See, baby, when I'm talk, talking to ya\n"""
2,26,Talk Dirty,Hot Pink,2019,"b'Baby, when I\xe2\x80\x99m talk, talking to ya\n'"
3,26,Talk Dirty,Hot Pink,2019,"b""Baby, when I'm talk, talking to ya\n"""
4,26,Talk Dirty,Hot Pink,2019,"b'(Yeah, yeah, will you, ayy, will you, will you talk dirty back?)\n'"
5,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
6,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
7,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
8,26,Talk Dirty,Hot Pink,2019,"b'I be in my bag, now, baby, I\xe2\x80\x99m all in my bag (When you talk dirty back)\n'"
9,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
10,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (When you talk dirty back)\n"""
11,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
12,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
13,26,Talk Dirty,Hot Pink,2019,"b'Said when you talk like that, put that shit to work\n'"
14,26,Talk Dirty,Hot Pink,2019,"b'Make that kitty hurt, make that kitty squirt\n'"
15,26,Talk Dirty,Hot Pink,2019,"b""Tell me what's my name, make that kitty yearn\n"""
16,26,Talk Dirty,Hot Pink,2019,"b'Teach me how to jerk, make that kitty learn\n'"
17,26,Talk Dirty,Hot Pink,2019,"b""Uh, wait, who's your mama? Who's your daddy, lil' babe?\n"""
18,26,Talk Dirty,Hot Pink,2019,"b'He want a baddie, he want skinny with a fatty, um, waist\n'"
19,26,Talk Dirty,Hot Pink,2019,"b'Tell me how much you just want my body on you, babe\n'"
20,26,Talk Dirty,Hot Pink,2019,"b""Like the way you say it's yummy when I\xe2\x80\x99m grindin\xe2\x80\x99 on your face\n"""
21,26,Talk Dirty,Hot Pink,2019,"b""Grindin' on your, wait, grindin\xe2\x80\x99 on your face\n"""
22,26,Talk Dirty,Hot Pink,2019,"b""Like the way you say it's yummy when I'm grindin' on your\n"""
23,26,Talk Dirty,Hot Pink,2019,"b""Gri-gri-grindin\xe2\x80\x99 on your face, ayy, grindin' on your face\n"""
24,26,Talk Dirty,Hot Pink,2019,"b""I like the way you say it's yummy when I'm grindin' on your face (Will you talk dirty back?)\n"""
25,26,Talk Dirty,Hot Pink,2019,b'You might also like\n'
26,26,Talk Dirty,Hot Pink,2019,"b'Talk like that (Will you talk to me?), I be in my bag\n'"
27,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
28,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
29,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
30,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
31,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
32,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
33,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
34,26,Talk Dirty,Hot Pink,2019,"b""And I say hey, I don't know the way, I\n"""
35,26,Talk Dirty,Hot Pink,2019,"b""Don't know just how to say what's been all in my head, I\n"""
36,26,Talk Dirty,Hot Pink,2019,"b""Just wanna let you in 'cause I know you got good taste, and\n"""
37,26,Talk Dirty,Hot Pink,2019,"b'I love the way you taste, boy, tell me what you think, I\n'"
38,26,Talk Dirty,Hot Pink,2019,"b'I, I, I\n'"
39,26,Talk Dirty,Hot Pink,2019,"b'And I know you wanted me, now you got me\n'"
40,26,Talk Dirty,Hot Pink,2019,"b""Don't you play with it, get naughty\n"""
41,26,Talk Dirty,Hot Pink,2019,"b'Call you daddy, you call me mami\n'"
42,26,Talk Dirty,Hot Pink,2019,"b""You so crazy when you're talking (Yeah)\n"""
43,26,Talk Dirty,Hot Pink,2019,"b'And I say, yeah, talk like that\n'"
44,26,Talk Dirty,Hot Pink,2019,b'All up in my ear when he want that wax\n'
45,26,Talk Dirty,Hot Pink,2019,b'Funny how the earrings are all intact\n'
46,26,Talk Dirty,Hot Pink,2019,"b""Can't even hear when I moan like that\n"""
47,26,Talk Dirty,Hot Pink,2019,"b""Aw yeah, that's your fault\n"""
48,26,Talk Dirty,Hot Pink,2019,"b""With a lil' serious tone in fact\n"""
49,26,Talk Dirty,Hot Pink,2019,b'Grab my hair with the eye contact\n'
50,26,Talk Dirty,Hot Pink,2019,"b""Phone sex good, that's why I phone back, uh\n"""
51,26,Talk Dirty,Hot Pink,2019,b'And you know that I pick up right when you call me\n'
52,26,Talk Dirty,Hot Pink,2019,"b""Got your voice in my head, it's making me horny\n"""
53,26,Talk Dirty,Hot Pink,2019,"b""And I can't help but wake you up in the morning\n"""
54,26,Talk Dirty,Hot Pink,2019,"b""You know most of the day I'm gonna be lonely\n"""
55,26,Talk Dirty,Hot Pink,2019,"b'Talk like that (Will you talk to me?), I be in my bag\n'"
56,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
57,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
58,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
59,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
60,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty back?)\n"""
61,26,Talk Dirty,Hot Pink,2019,"b'Now, when you talk like that (Will you talk to me?), I be in my bag\n'"
62,26,Talk Dirty,Hot Pink,2019,"b""I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty?)\n"""
63,26,Talk Dirty,Hot Pink,2019,b'Will you talk to me?\n'
64,26,Talk Dirty,Hot Pink,2019,"b'You must have it in you, I just like the way you think\n'"
65,26,Talk Dirty,Hot Pink,2019,"b""I'm open if you are, let me know what it's gon' be\n"""
66,26,Talk Dirty,Hot Pink,2019,"b'Whisper to my soul, boy, I just like the way you speak\n'"
67,26,Talk Dirty,Hot Pink,2019,"b'Talk, talking to ya\n'"
68,26,Talk Dirty,Hot Pink,2019,"b""See baby, when I'm talk, talking to ya\n"""
69,26,Talk Dirty,Hot Pink,2019,"b""Baby, when I'm talk, talking to ya\n"""
70,26,Talk Dirty,Hot Pink,2019,"b""Baby, when I'm talk, talking to ya\n"""
