,Track Number,Track Title,Album Name,Year Released,Lyric
0,37,Wild Beach,Amala,2018,b'Let the waves carry you down to my doorstep\n'
1,37,Wild Beach,Amala,2018,"b'Rest your weary souls on my shores, yeah\n'"
2,37,Wild Beach,Amala,2018,"b'Sand and the sun and the tropical breeze, yeah\n'"
3,37,Wild Beach,Amala,2018,"b'You can get away from the sharks in the seas, yeah\n'"
4,37,Wild Beach,Amala,2018,"b'Wild out, make a name\n'"
5,37,Wild Beach,Amala,2018,"b'Stars is out, freaky time\n'"
6,37,Wild Beach,Amala,2018,"b'Sink the ship, take a dip\n'"
7,37,Wild Beach,Amala,2018,"b'Coconut, take a sip\n'"
8,37,Wild Beach,Amala,2018,"b'Wildfire, dance around\n'"
9,37,Wild Beach,Amala,2018,b'Wear my gold like a crown\n'
10,37,Wild Beach,Amala,2018,"b""Where we've been, given doubt\n"""
11,37,Wild Beach,Amala,2018,b'Where we are? In the wild now\n'
12,37,Wild Beach,Amala,2018,b'Wild beach\n'
13,37,Wild Beach,Amala,2018,"b""Can't control these wild things\n"""
14,37,Wild Beach,Amala,2018,"b""Can't you see you're drowning?\n"""
15,37,Wild Beach,Amala,2018,"b""Tryna tame a wild beast, I'm a wild beach\n"""
16,37,Wild Beach,Amala,2018,"b""It's like you're tryna tame a wild beast, I'm a wild beach\n"""
17,37,Wild Beach,Amala,2018,"b""I'm a wild beach, I'm a wild beach\n"""
18,37,Wild Beach,Amala,2018,"b'Boy, you must be crazy\n'"
19,37,Wild Beach,Amala,2018,b'Must be out of my mind\n'
20,37,Wild Beach,Amala,2018,"b""Feel like I'm stranded but it go hand in hand\n"""
21,37,Wild Beach,Amala,2018,"b""'Cause we free to live that life\n"""
22,37,Wild Beach,Amala,2018,b'Now see that though\n'
23,37,Wild Beach,Amala,2018,"b""Pretty in a drop top, we gon' blow\n"""
24,37,Wild Beach,Amala,2018,"b'Palm trees in a Backwood, he on both knees\n'"
25,37,Wild Beach,Amala,2018,"b""Make it pop-pop, I don't need no doors\n"""
26,37,Wild Beach,Amala,2018,"b""If crib pop-itty, I don't need more hoes\n"""
27,37,Wild Beach,Amala,2018,"b""See no evil even if she won't go\n"""
28,37,Wild Beach,Amala,2018,b'Dijon chico with the neon coat\n'
29,37,Wild Beach,Amala,2018,"b'Got a vision of the sun, I just see more gold and\n'"
30,37,Wild Beach,Amala,2018,"b'Wild out, make a name\n'"
31,37,Wild Beach,Amala,2018,"b'Stars is out, freaky time\n'"
32,37,Wild Beach,Amala,2018,"b'Sink the ship, take a dip\n'"
33,37,Wild Beach,Amala,2018,"b'Coconut, take a sip\n'"
34,37,Wild Beach,Amala,2018,"b'Wildfire, dance around\n'"
35,37,Wild Beach,Amala,2018,b'Wear my gold like a crown\n'
36,37,Wild Beach,Amala,2018,"b""Where we've been, given doubt\n"""
37,37,Wild Beach,Amala,2018,b'Where we are? In the wild now\n'
38,37,Wild Beach,Amala,2018,b'You might also like\n'
39,37,Wild Beach,Amala,2018,b'Wild beach\n'
40,37,Wild Beach,Amala,2018,"b""Can't control these wild things\n"""
41,37,Wild Beach,Amala,2018,"b""Can't you see you're drowning?\n"""
42,37,Wild Beach,Amala,2018,"b""Tryna tame a wild beast, I'm a wild beach\n"""
43,37,Wild Beach,Amala,2018,"b""It's like you're tryna tame a wild beast, I'm a wild beach\n"""
44,37,Wild Beach,Amala,2018,"b""I'm a wild beach, I'm a wild beach\n"""
45,37,Wild Beach,Amala,2018,b'Every day it feels like the weekend\n'
46,37,Wild Beach,Amala,2018,b'Every day could be summer season\n'
47,37,Wild Beach,Amala,2018,b'Relax your mind with me all weekend\n'
48,37,Wild Beach,Amala,2018,"b'Under jungle, roll in my leaves, yeah\n'"
49,37,Wild Beach,Amala,2018,b'Every day it feels like the weekend\n'
50,37,Wild Beach,Amala,2018,b'Every day could be summer season\n'
51,37,Wild Beach,Amala,2018,b'Relax your mind with me all weekend\n'
52,37,Wild Beach,Amala,2018,"b'Under jungle, roll in my leaves, yeah\n'"
53,37,Wild Beach,Amala,2018,b'Meow meow meow meow meow\n'
54,37,Wild Beach,Amala,2018,b'Meow meow meow meow meow meow meow\n'
55,37,Wild Beach,Amala,2018,b'Meow meow meow meow meow\n'
56,37,Wild Beach,Amala,2018,b'Meow meow meow meow meow\n'
57,37,Wild Beach,Amala,2018,b'Meow meow meow meow meow\n'
58,37,Wild Beach,Amala,2018,b'Meow meow meow meow meow meow meow\n'
59,37,Wild Beach,Amala,2018,b'Meow meow meow meow meow\n'
