,Track Number,Track Title,Album Name,Year Released,Lyric
0,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""I ain't got my eye on you\n"""
1,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Ain't been hypnotized by you, yeah\n"""
2,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Ain't in here tryna find my dude\n"""
3,35,Wine Pon You (Ft. Konshens),Amala,2018,b'I take it you just like the way I wine pon you\n'
4,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Ain't been hypnotized by you, yeah\n"""
5,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Ain't in here tryna find my dude\n"""
6,35,Wine Pon You (Ft. Konshens),Amala,2018,b'I take it you just like the way I wine pon you\n'
7,35,Wine Pon You (Ft. Konshens),Amala,2018,b'How I wine pon you\n'
8,35,Wine Pon You (Ft. Konshens),Amala,2018,b'The way I wine pon you\n'
9,35,Wine Pon You (Ft. Konshens),Amala,2018,b'How I wine pon you\n'
10,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'The way I wine pon you, yeah\n'"
11,35,Wine Pon You (Ft. Konshens),Amala,2018,b'Take it you just like the way I wine pon you\n'
12,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Take it you just like the way I wine pon you, yeah\n'"
13,35,Wine Pon You (Ft. Konshens),Amala,2018,b'The way I wine pon you\n'
14,35,Wine Pon You (Ft. Konshens),Amala,2018,b'How I wine pon you\n'
15,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'The way I wine pon you, yeah\n'"
16,35,Wine Pon You (Ft. Konshens),Amala,2018,b'Take it you just like the way I wine pon you\n'
17,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Take it you just like the way I wine pon you, yeah\n'"
18,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'You can catch her in the Vogue or Hustler magazineYoung red bitch, pussy wet, five screensYou can catch her in the Vogue or Hustler magazineYoung red bitch, pussy wet, five screens\n'"
19,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Young red bitch, pussy wet, five screens\n'"
20,35,Wine Pon You (Ft. Konshens),Amala,2018,b'You can catch her in the Vogue or Hustler magazine\n'
21,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Young red bitch, pussy wet, five screens\n'"
22,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Yeah, yeah\n'"
23,35,Wine Pon You (Ft. Konshens),Amala,2018,b'Pop that like Ginkgo biloba\n'
24,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""That booty don't need no more soda\n"""
25,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Too hot, now this boy don't need no more doja\n"""
26,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Leg on the seat, that's a photo\n"""
27,35,Wine Pon You (Ft. Konshens),Amala,2018,b'See that you focused\n'
28,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""If there's no room, boy, we squeeze in the corner\n"""
29,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Way that he talking, you think that he know her\n'"
30,35,Wine Pon You (Ft. Konshens),Amala,2018,b'Hold up\n'
31,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""See baby, this for the night, I won't see you tomorrow\n"""
32,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Yeah, but when I dance here, boy you better man up\n'"
33,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Be like a museum, got you looking, boy you can't touch\n"""
34,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Yeah, I got him speaking, got him geeking, tie them hands up\n'"
35,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Tappin to the beat, you wanna freak her 'cause she random\n"""
36,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Know you got your girl here, looking for your ass, run\n'"
37,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Faking that you loyal, boy, you playing with her passion\n'"
38,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""Even when the beat slow, I shake a lil' faster\n"""
39,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Twerking on the speaker, know you need her in your fan club\n'"
40,35,Wine Pon You (Ft. Konshens),Amala,2018,b'You might also like\n'
41,35,Wine Pon You (Ft. Konshens),Amala,2018,b'How I wine pon you\n'
42,35,Wine Pon You (Ft. Konshens),Amala,2018,b'The way I wine pon you\n'
43,35,Wine Pon You (Ft. Konshens),Amala,2018,b'How I wine pon you\n'
44,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'The way I wine pon you, yeah\n'"
45,35,Wine Pon You (Ft. Konshens),Amala,2018,b'Take it you just like the way I wine pon you\n'
46,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Take it you just like the way I wine pon you, yeah\n'"
47,35,Wine Pon You (Ft. Konshens),Amala,2018,b'You can catch her in the Vogue or Hustler magazine\n'
48,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Young red bitch, pussy wet, five screens\n'"
49,35,Wine Pon You (Ft. Konshens),Amala,2018,b'You can catch her in the Vogue or Hustler magazine\n'
50,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Young red bitch, pussy wet, five screens\n'"
51,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Aha, oh yeah\n'"
52,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Baby girl, badman a wuk you, we no nerdy\n'"
53,35,Wine Pon You (Ft. Konshens),Amala,2018,b'Make underwear fly like birdie\n'
54,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'When me call, you cum early\n'"
55,35,Wine Pon You (Ft. Konshens),Amala,2018,b'Make you wanna get down and dirty\n'
56,35,Wine Pon You (Ft. Konshens),Amala,2018,b'When you whine up your body so slow\n'
57,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Punch line, solo\n'"
58,35,Wine Pon You (Ft. Konshens),Amala,2018,"b""It's your show, be the star and done\n"""
59,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'When you back it pon me, me nah back down\n'"
60,35,Wine Pon You (Ft. Konshens),Amala,2018,b'How I wine pon you\n'
61,35,Wine Pon You (Ft. Konshens),Amala,2018,b'The way I wine pon you\n'
62,35,Wine Pon You (Ft. Konshens),Amala,2018,b'How I wine pon you\n'
63,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'The way I wine pon you, yeah\n'"
64,35,Wine Pon You (Ft. Konshens),Amala,2018,b'Take it you just like the way I wine pon you\n'
65,35,Wine Pon You (Ft. Konshens),Amala,2018,"b'Take it you just like the way I wine pon you, yeah\n'"
