,Track Number,Track Title,Album Name,Year Released,Lyric
0,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
1,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
2,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
3,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
4,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'Yeah, yeah\n'"
5,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
6,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
7,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha\n'
8,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
9,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
10,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
11,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'Yeah, yeah\n'"
12,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
13,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha-yeah\n'
14,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-ha\n'
15,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Closer to me, baby, I won't bite\n"""
16,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'You look so tasty, but I won\xe2\x80\x99t bite, really\n'"
17,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""I'm such a good kitty, don't put up fights\n"""
18,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'But if you trick me, baby, it gon\xe2\x80\x99 get sticky\n'"
19,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (Might just), bite (I might just)\n'"
20,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
21,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
22,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
23,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'I might\n'
24,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I, I, I might just rip a nigga head off if\n'"
25,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'He just wanna hit and head off, then\n'"
26,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Why the fuck you in my bed all day?\n'
27,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Talking 'bout you getting bread\n"""
28,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""'Less you is a bird, then I understand, okay\n"""
29,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Never ever bite the hand feeding you the worm\n'
30,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'These are not your eggs, okay, look, look, look\n'"
31,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Long ass money with a short fuse\n'
32,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I\'m 5\'3"", but I\'ll make that nigga 4\'2""\n'"
33,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""If you wanna do it, motherfucker, I won't stop you (Yeah, yeah)\n"""
34,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'Do it, motherfucker, I won\xe2\x80\x99t stop you, ooh\n'"
35,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'Closer to me, baby, I won\xe2\x80\x99t bite\n'"
36,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""You look so tasty, but I won't bite, really\n"""
37,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""I\xe2\x80\x99m such a good kitty, don't put up fights\n"""
38,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""But if you trick me, baby, it gon' get sticky\n"""
39,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (Might just), bite (I might just)\n'"
40,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
41,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
42,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
43,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'I might\n'
44,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
45,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
46,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
47,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
48,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
49,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'You might also like\n'
50,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Don't be (Nah)\n"""
51,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Sorry, I\xe2\x80\x99ll be carefree (I'll)\n"""
52,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Serve your ass like Geoffrey (Plug)\n'
53,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Do it for the glory (Wow)\n'
54,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'Late to the shift, be sweet\n'"
55,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Kept my voice high C\n'
56,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Don't give a fuck who see\n"""
57,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Nigga D-E-F 'bout to throw grenades (Grenades)\n"""
58,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Keep a ghetto freak, but she lightin' sage\n"""
59,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Natural hair poppin', don't ever get it twisted\n"""
60,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'She at your scalp for the fame\n'
61,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'Nah, nah, nah, nigga, listen, let me lecture, see\n'"
62,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""When it be about the bread, oh, want the Quiznos, don't test it, ayy\n"""
63,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""I'm a gentleman, I turn to a barracuda swimming in your blessings, hey\n"""
64,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'Higher than a hallelujah, hot as halitosis, she lick me like\n'"
65,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'(La, la la la, la la la, la la la, la)\n'"
66,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""Closer to me, baby, I won't bite\n"""
67,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""You look so tasty, but I won't bite, really\n"""
68,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""I'm such a good kitty, don't put up fights\n"""
69,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b""But if you trick me, baby, it gon' get sticky\n"""
70,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (Might just), bite (I might just)\n'"
71,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
72,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
73,21,Won't Bite (Ft. Smino),Hot Pink,2019,"b'I might (I might just), bite (I might just)\n'"
74,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'I might\n'
75,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
76,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
77,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
78,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
79,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
80,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
81,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
82,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le\n'
83,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
84,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
85,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
86,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
87,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
88,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le-le-le-le-ha\n'
89,21,Won't Bite (Ft. Smino),Hot Pink,2019,b'Le-le-le-le-le-le-le\n'
