,Track Number,Track Title,Album Name,Year Released,Lyric
0,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'I got a man, but I want you\n'"
1,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'I got a man, but I want you\n'"
2,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""And it's just nerves, it's just dick\n"""
3,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""Makin' me think 'bout someone new\n"""
4,8,You Right (Ft. The Weeknd),Planet Her,2021,b'You know I got so much to say\n'
5,8,You Right (Ft. The Weeknd),Planet Her,2021,b'I try to hide it in my face\n'
6,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""And it don't work, you see through\n"""
7,8,You Right (Ft. The Weeknd),Planet Her,2021,b'That I just wanna get with you\n'
8,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""And you're right\n"""
9,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'You right, I\n'"
10,8,You Right (Ft. The Weeknd),Planet Her,2021,b'Got my guy\n'
11,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'But I, I\n'"
12,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""Can't help it, I want you\n"""
13,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'Said you right, I\n'"
14,8,You Right (Ft. The Weeknd),Planet Her,2021,b'Got my guy\n'
15,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'But I, I\n'"
16,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""Can't help it, I want you\n"""
17,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""I can't stop and look the other way\n"""
18,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""'Cause I know what could be, babe\n"""
19,8,You Right (Ft. The Weeknd),Planet Her,2021,b'And you never feel the same\n'
20,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""You'd be thinkin' 'bout it every day\n"""
21,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""Don't believe in fairytales\n"""
22,8,You Right (Ft. The Weeknd),Planet Her,2021,b'But we got our fantasies\n'
23,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""And it's me and you, no she\n"""
24,8,You Right (Ft. The Weeknd),Planet Her,2021,b'Tryna be all through your sheets\n'
25,8,You Right (Ft. The Weeknd),Planet Her,2021,b'Have you all on top of me\n'
26,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""Actin' like it's not that deep\n"""
27,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'Oh, you could take it out on me\n'"
28,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""Tell me what it's 'bout to be\n"""
29,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""Really feel it's bound to b\xd0\xb5\n"""
30,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""I can't tell no one, but they all know\n"""
31,8,You Right (Ft. The Weeknd),Planet Her,2021,b'You might also like\n'
32,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'I got a man, but I want you\n'"
33,8,You Right (Ft. The Weeknd),Planet Her,2021,"b'I got a man, but I want you\n'"
34,8,You Right (Ft. The Weeknd),Planet Her,2021,"b""And it's just n\xd0\xb5rves, it's just dick\n"""
